FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,38,0,0,0,0,0,0
5,-0.664425,3.90706001875,0.873255566875,-3.0577972375,38,0,0,0,0,0,0
10,-0.664425,4.3209754,1.83848407,-2.5204889,38,0,0,0,0,0,0
15,-0.664425,4.61502094375,2.489854666875,-2.0696949125,38,0,0,0,0,0,0
20,-0.664425,4.8173272,2.92625512,-1.6976452,38,0,0,0,0,0,0
25,-0.664425,4.95244046875,3.233977796875,-1.3965696875,38,0,0,0,0,0,0
30,-0.664425,5.0413228,3.48671967,-1.1586983,38,0,0,0,0,0,0
35,-0.664425,5.10135199375,3.745582316875,-0.9762609625,38,0,0,0,0,0,0
40,-0.664425,5.1463216,4.05907192,-0.8414876,38,0,0,0,0,0,0
45,-0.664425,5.18644091875,4.463099266875,-0.746608137500001,38,0,0,0,0,0,0
50,-0.664425,5.228335,4.98097975000001,-0.6838525,38,0,0,0,0,0,0
55,-0.664425,5.27504464375,5.623433366875,-0.6454506125,38,0,0,0,0,0,0
60,-0.664425,5.3260264,6.38858472,-0.6236324,38,0,0,0,0,0,0
65,-0.664425,5.37715256875,7.26196301687501,-0.610627787500001,38,0,0,0,0,0,0
70,-0.664425,5.4207112,8.21650207,-0.598666700000001,38,0,0,0,0,0,0
75,-0.664425,5.44540609375,9.21254029687501,-0.5799790625,38,0,0,0,0,0,0
