FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
5,-0.664425,3.34156,0.873255566875,-3.0577972375,33,0,0,0,0,0,0
10,-0.664425,3.34156,1.83848407,-2.5204889,33,0,0,0,0,0,0
15,-0.664425,3.34156,2.489854666875,-2.0696949125,33,0,0,0,0,0,0
20,-0.664425,3.34156,2.92625512,-1.6976452,33,0,0,0,0,0,0
25,-0.664425,3.34156,3.233977796875,-1.3965696875,33,0,0,0,0,0,0
30,-0.664425,3.34156,3.48671967,-1.1586983,33,0,0,0,0,0,0
35,-0.664425,3.34156,3.745582316875,-0.9762609625,33,0,0,0,0,0,0
40,-0.664425,3.34156,4.05907192,-0.8414876,33,0,0,0,0,0,0
45,-0.664425,3.34156,4.463099266875,-0.746608137500001,33,0,0,0,0,0,0
50,-0.664425,3.34156,4.98097975000001,-0.6838525,33,0,0,0,0,0,0
55,-0.664425,3.34156,5.623433366875,-0.6454506125,33,0,0,0,0,0,0
60,-0.664425,3.34156,6.38858472,-0.6236324,33,0,0,0,0,0,0
65,-0.664425,3.34156,7.26196301687501,-0.610627787500001,33,0,0,0,0,0,0
70,-0.664425,3.34156,8.21650207,-0.598666700000001,33,0,0,0,0,0,0
75,-0.664425,3.34156,9.21254029687501,-0.5799790625,33,0,0,0,0,0,0
