FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
5,-0.664425,3.34156,0.873255566875,-3.68939,33,0,0,0,0,0,0
10,-0.664425,3.34156,1.83848407,-3.68939,33,0,0,0,0,0,0
15,-0.664425,3.34156,2.489854666875,-3.68939,33,0,0,0,0,0,0
20,-0.664425,3.34156,2.92625512,-3.68939,33,0,0,0,0,0,0
25,-0.664425,3.34156,3.233977796875,-3.68939,33,0,0,0,0,0,0
30,-0.664425,3.34156,3.48671967,-3.68939,33,0,0,0,0,0,0
35,-0.664425,3.34156,3.745582316875,-3.68939,33,0,0,0,0,0,0
40,-0.664425,3.34156,4.05907192,-3.68939,33,0,0,0,0,0,0
45,-0.664425,3.34156,4.463099266875,-3.68939,33,0,0,0,0,0,0
50,-0.664425,3.34156,4.98097975000001,-3.68939,33,0,0,0,0,0,0
55,-0.664425,3.34156,5.623433366875,-3.68939,33,0,0,0,0,0,0
60,-0.664425,3.34156,6.38858472,-3.68939,33,0,0,0,0,0,0
65,-0.664425,3.34156,7.26196301687501,-3.68939,33,0,0,0,0,0,0
70,-0.664425,3.34156,8.21650207,-3.68939,33,0,0,0,0,0,0
75,-0.664425,3.34156,9.21254029687501,-3.68939,33,0,0,0,0,0,0
