FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
5,-0.664425,3.34156,4.482686,-3.68939,33,0,0,0,0,0,0
10,-0.664425,3.34156,5.873255566875,-3.68939,33,0,0,0,0,0,0
15,-0.664425,3.34156,6.83848407,-3.68939,33,0,0,0,0,0,0
20,-0.664425,3.34156,7.489854666875,-3.68939,33,0,0,0,0,0,0
25,-0.664425,3.34156,7.92625512,-3.68939,33,0,0,0,0,0,0
30,-0.664425,3.34156,8.233977796875,-3.68939,33,0,0,0,0,0,0
35,-0.664425,3.34156,8.48671967,-3.68939,33,0,0,0,0,0,0
40,-0.664425,3.34156,8.745582316875,-3.68939,33,0,0,0,0,0,0
45,-0.664425,3.34156,9.05907192,-3.68939,33,0,0,0,0,0,0
50,-0.664425,3.34156,9.463099266875,-3.68939,33,0,0,0,0,0,0
55,-0.664425,3.34156,9.98097975000001,-3.68939,33,0,0,0,0,0,0
60,-0.664425,3.34156,10.623433366875,-3.68939,33,0,0,0,0,0,0
65,-0.664425,3.34156,11.38858472,-3.68939,33,0,0,0,0,0,0
70,-0.664425,3.34156,12.261963016875,-3.68939,33,0,0,0,0,0,0
75,-0.664425,3.34156,13.21650207,-3.68939,33,0,0,0,0,0,0
