FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,0,0,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.5,-0.367023762281472,3.40590924192812,-0.355679173105813,0,0,-1.93255738058917,-3.90308237291883,68.543204759625,0.69934781975,-0.03019114864225,-0.2254194075
1,-0.07832271763711,3.46842951595,-0.199398404693,0,0,-2.06466448610059,-3.9970817728024,68.635959389,0.704126979,-0.030329667638,-0.227314815
1.5,0.201863850598508,3.52915737560312,-0.0483432078208125,0,0,-2.18959928839804,-4.09239650257448,68.756987740875,0.70885747775,-0.03042946684075,-0.2292102225
2,0.47371864153248,3.588129016,0.0976136449120001,0,0,-2.30768769584595,-4.1887012600768,68.905522104,0.713539316,-0.030490256104,-0.23110563
2.5,0.737421365711914,3.64538027382812,0.238598121367188,0,0,-2.41924384399243,-4.28568199632813,69.080803203125,0.71817249375,-0.03051174528125,-0.2330010375
3,0.99314877412227,3.70094662735,0.374734929867,0,0,-2.5245703828163,-4.3830357737832,69.282080199,0.722757011,-0.030493644226,-0.234896445
3.5,1.24107468718569,3.75486319640312,0.506147519194188,0,0,-2.62395876053837,-4.48047062459178,69.508610688375,0.72729286775,-0.03043566279175,-0.2367918525
4,1.48137002375936,3.8071647424,0.632958078592,0,0,-2.71768950399693,-4.5777054088576,69.759660704,0.731780064,-0.030337510832,-0.23868726
4.5,1.7142028301338,3.85788566832812,0.755287537764188,0,0,-2.80603249558729,-4.67446967289743,70.034504714625,0.73621859975,-0.03019889820025,-0.2405826675
5,1.93973830903125,3.90706001875,0.873255566875,0,0,-2.88924724676563,-4.7705035075,70.332425625,0.740608475,-0.03001953475,-0.242478075
5.5,2.15813884860398,3.95472147980312,0.986980576549188,0,0,-2.9675831681169,-4.86555740618508,70.652714775875,0.74494968975,-0.02979913033475,-0.2443734825
6,2.36956405143264,4.0009033792,1.096579717872,0,0,-3.04127983598701,-4.9593921234624,70.994671944,0.749242244,-0.029537394808,-0.24626889
6.5,2.57417076352459,4.04563868622813,1.20216888238919,0,0,-3.11056725567906,-5.05177853309072,71.357605342125,0.75348613775,-0.02923403802325,-0.2481642975
7,2.77211310331223,4.08896001175,1.303862702107,0,0,-3.17566612121386,-5.1424974863368,71.740831619,0.757681371,-0.028888769834,-0.250059705
7.5,2.96354249065137,4.13089960820312,1.40177454949219,0,0,-3.23678807165454,-5.23133967023437,72.143675859375,0.76182794375,-0.02850130009375,-0.2519551125
8,3.14860767581952,4.1714893696,1.496016537472,0,0,-3.29413594399539,-5.3181054658432,72.565471584,0.765925856,-0.028071338656,-0.25385052
8.5,3.32745476851427,4.21076083152813,1.58669951943419,0,0,-3.34790402261482,-5.40260480650802,73.005560749625,0.76997510775,-0.02759859537425,-0.2557459275
9,3.50022726685161,4.24874517115,1.673933089227,0,0,-3.39827828529251,-5.4846570361176,73.463293749,0.773975699,-0.027082780102,-0.257641335
9.5,3.66706608636425,4.28547320720313,1.75782558115919,0,0,-3.44543664579077,-5.56409076736368,73.938029410875,0.77792762975,-0.02652360269275,-0.2595367425
10,3.828109589,4.3209754,1.83848407,0,0,-3.489549193,-5.64074374,74.429135,0.7818309,-0.025920773,-0.26143215
10.5,3.98349361212006,4.35528185142812,1.91601437097919,0,0,-3.53077842664837,-5.71446267910133,74.935986217125,0.78568550975,-0.02527400087725,-0.2633275575
11,4.13335149749739,4.38842230495,1.990521039787,0,0,-3.56927948957567,-5.7851031533224,75.457967199,0.789491459,-0.024582996178,-0.265222965
11.5,4.27781412031504,4.42042614560313,2.06210737257419,0,0,-3.60520039657132,-5.85252943315698,75.994470518375,0.79324874775,-0.02384746875575,-0.2671183725
12,4.41700991816448,4.4513224,2.130875405952,0,0,-3.63868225977651,-5.9166143491968,76.544897184,0.796957376,-0.023067128464,-0.26901378
12.5,4.55106492004395,4.48113973632812,2.19692591699219,0,0,-3.66985951065063,-5.97723915039063,77.108656640625,0.80061734375,-0.02224168515625,-0.2709091875
13,4.68010277535677,4.50990646435,2.260358423227,0,0,-3.69886011850174,-6.0342933623032,77.685166769,0.804228651,-0.021370848686,-0.272804595
13.5,4.80424478290973,4.53765053540313,2.32127118264919,0,0,-3.72580580558125,-6.08767464537428,78.273853885875,0.80779129775,-0.02045432890675,-0.2747000025
14,4.92360991991136,4.5643995424,2.379761193712,0,0,-3.75081225874285,-6.1372886531776,78.874152744,0.811305284,-0.019491835672,-0.27659541
14.5,5.03831487097033,4.59018071982812,2.43592419532919,0,0,-3.77398933766549,-6.18304889067993,79.485506532125,0.81477060975,-0.01848307883525,-0.2784908175
15,5.14847405709375,4.61502094375,2.489854666875,0,0,-3.79544127964063,-6.2248765725,80.107366875,0.818187275,-0.01742776825,-0.280386225
15.5,5.25419966468551,4.63894673180313,2.54164582818419,0,0,-3.81526690092358,-6.26270048116758,80.739193833375,0.82155527975,-0.01632561376975,-0.2822816325
16,5.35560167454464,4.6619842432,2.591389639552,0,0,-3.83355979464909,-6.2964568253824,81.380455904,0.824874624,-0.015176325248,-0.28417704
16.5,5.45278789086362,4.68415927872812,2.63917680173419,0,0,-3.85040852531106,-6.32608909827322,82.030630019625,0.82814530775,-0.01397961253825,-0.2860724475
17,5.54586397022673,4.70549728075,2.685096755947,0,0,-3.86589681980642,-6.3515479356568,82.689201549,0.831367331,-0.012735185494,-0.287967855
17.5,5.6349334506084,4.72602333320313,2.72923768386719,0,0,-3.88010375504321,-6.37279097429687,83.355664296875,0.83454069375,-0.01144275396875,-0.2898632625
18,5.72009778037152,4.7457621616,2.771686507632,0,0,-3.89310394211283,-6.3897827101632,84.029520504,0.837665396,-0.010102027816,-0.29175867
18.5,5.8014563472658,4.76473813302812,2.81252888983919,0,0,-3.90496770702642,-6.40249435669053,84.710280847125,0.84074143775,-0.00871271688925001,-0.2936540775
19,0.0776501601603066,0.0182371231218754,0.0393203437078125,0,0,-3.91576126801543,-6.4109037030376,85.397464439,0.843768819,-0.007274531042,-0.295549485
19.5,0.151687267104981,0.0357590481750005,0.077201792434999,0,0,-3.92554690939644,-6.41499497234617,86.090598828375,0.84674753975,-0.00578718012775001,-0.2974448925
20,0.222204700734196,0.0525890669718754,0.113726230160813,0,0,-3.934383152,-6.41475868,86.78922,0.8496776,-0.004250374,-0.2993403
20.5,0.289293896328287,0.0687501129000001,0.148974281325001,0,0,-3.94232492016377,-6.41019149188382,87.492872374625,0.85255899975,-0.00266382251225,-0.3012357075
21,0.353044373546087,0.084264760921875,0.183025310827812,0,0,-3.94942370528975,-6.4012960826424,88.201108809,0.855391739,-0.001027235518,-0.303131115
21.5,0.413543765423269,0.0991552275750003,0.215957424029999,0,0,-3.95572772596578,-6.38808099393947,88.913490595875,0.85817581775,0.000659677129249997,-0.3050265225
22,0.470877847370677,0.113443370971875,0.247847466752813,0,0,-3.96128208465107,-6.3705604927168,89.629587464,0.860911236,0.00239720557599999,-0.30692193
22.5,0.525130566172672,0.1271506908,0.278771025278001,0,0,-3.96612892092603,-6.34875442945313,90.348977578125,0.86359799375,0.00418563996874999,-0.3088173375
23,0.576384068985465,0.140298328321875,0.308802426347812,0,0,-3.97030756130618,-6.3226880964232,91.071247539,0.866236091,0.006025270454,-0.310712745
23.5,0.624718732335454,0.152907066375001,0.338014737165,0,0,-3.97385466562032,-6.29239208595678,91.795992383375,0.86882552775,0.00791638717825,-0.3126081525
24,0.670213191117558,0.164997329371875,0.366479765392813,0,0,-3.97680436995277,-6.2579021486976,92.522815584,0.871366304,0.00985928028799999,-0.31450356
24.5,0.712944367593559,0.1765891833,0.394268059155001,0,0,-3.97918842614988,-6.21925905186242,93.251329049625,0.87385841975,0.01185423992975,-0.3163989675
25,0.752987500390446,0.187702335721875,0.421448907035813,0,0,-3.98103633789062,-6.1765084375,93.981153125,0.876301875,0.01390155625,-0.318294375
25.5,0.790416173498741,0.198356135775001,0.44809033808,0,0,-3.98237549332144,-6.12970068075007,94.711916590875,0.87869666975,0.01600151939525,-0.3201897825
