FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,29.0704,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.5,-0.664426,3.34157,-0.517315,-3.68940,29.0705,-1.93255738058917,-3.90308237291883,68.543204759625,0.69934781975,-0.03019114864225,-0.2254194075
1,-0.664427,3.34158,-0.517316,-3.68941,29.0706,-2.06466448610059,-3.9970817728024,68.635959389,0.704126979,-0.030329667638,-0.227314815
1.5,-0.664428,3.34159,-0.517317,-3.68942,29.0707,-2.18959928839804,-4.09239650257448,68.756987740875,0.70885747775,-0.03042946684075,-0.2292102225
2,-0.664429,3.34160,-0.517318,-3.68943,29.0708,-2.30768769584595,-4.1887012600768,68.905522104,0.713539316,-0.030490256104,-0.23110563
2.5,-0.664430,3.34161,-0.517319,-3.68944,29.0709,-2.41924384399243,-4.28568199632813,69.080803203125,0.71817249375,-0.03051174528125,-0.2330010375
3,-0.664431,3.34162,-0.517320,-3.68945,29.0710,-2.5245703828163,-4.3830357737832,69.282080199,0.722757011,-0.030493644226,-0.234896445
3.5,-0.664432,3.34163,-0.517321,-3.68946,29.0711,-2.62395876053837,-4.48047062459178,69.508610688375,0.72729286775,-0.03043566279175,-0.2367918525
4,-0.664433,3.34164,-0.517322,-3.68947,29.0712,-2.71768950399693,-4.5777054088576,69.759660704,0.731780064,-0.030337510832,-0.23868726
4.5,-0.664434,3.34165,-0.517323,-3.68948,29.0713,-2.80603249558729,-4.67446967289743,70.034504714625,0.73621859975,-0.03019889820025,-0.2405826675
5,-0.664435,3.34166,-0.517324,-3.68949,29.0714,-2.88924724676563,-4.7705035075,70.332425625,0.740608475,-0.03001953475,-0.242478075
5.5,-0.664436,3.34167,-0.517325,-3.68950,29.0715,-2.9675831681169,-4.86555740618508,70.652714775875,0.74494968975,-0.02979913033475,-0.2443734825
6,-0.664437,3.34168,-0.517326,-3.68951,29.0716,-3.04127983598701,-4.9593921234624,70.994671944,0.749242244,-0.029537394808,-0.24626889
6.5,-0.664438,3.34169,-0.517327,-3.68952,29.0717,-3.11056725567906,-5.05177853309072,71.357605342125,0.75348613775,-0.02923403802325,-0.2481642975
7,-0.664439,3.34170,-0.517328,-3.68953,29.0718,-3.17566612121386,-5.1424974863368,71.740831619,0.757681371,-0.028888769834,-0.250059705
7.5,-0.664440,3.34171,-0.517329,-3.68954,29.0719,-3.23678807165454,-5.23133967023437,72.143675859375,0.76182794375,-0.02850130009375,-0.2519551125
8,-0.664441,3.34172,-0.517330,-3.68955,29.0720,-3.29413594399539,-5.3181054658432,72.565471584,0.765925856,-0.028071338656,-0.25385052
8.5,-0.664442,3.34173,-0.517331,-3.68956,29.0721,-3.34790402261482,-5.40260480650802,73.005560749625,0.76997510775,-0.02759859537425,-0.2557459275
9,-0.664443,3.34174,-0.517332,-3.68957,29.0722,-3.39827828529251,-5.4846570361176,73.463293749,0.773975699,-0.027082780102,-0.257641335
9.5,-0.664444,3.34175,-0.517333,-3.68958,29.0723,-3.44543664579077,-5.56409076736368,73.938029410875,0.77792762975,-0.02652360269275,-0.2595367425
10,-0.664445,3.34176,-0.517334,-3.68959,29.0724,-3.489549193,-5.64074374,74.429135,0.7818309,-0.025920773,-0.26143215
10.5,-0.664446,3.34177,-0.517335,-3.68960,29.0725,-3.53077842664837,-5.71446267910133,74.935986217125,0.78568550975,-0.02527400087725,-0.2633275575
11,-0.664447,3.34178,-0.517336,-3.68961,29.0726,-3.56927948957567,-5.7851031533224,75.457967199,0.789491459,-0.024582996178,-0.265222965
11.5,-0.664448,3.34179,-0.517337,-3.68962,29.0727,-3.60520039657132,-5.85252943315698,75.994470518375,0.79324874775,-0.02384746875575,-0.2671183725
12,-0.664449,3.34180,-0.517338,-3.68963,29.0728,-3.63868225977651,-5.9166143491968,76.544897184,0.796957376,-0.023067128464,-0.26901378
12.5,-0.664450,3.34181,-0.517339,-3.68964,29.0729,-3.66985951065063,-5.97723915039063,77.108656640625,0.80061734375,-0.02224168515625,-0.2709091875
13,-0.664451,3.34182,-0.517340,-3.68965,29.0730,-3.69886011850174,-6.0342933623032,77.685166769,0.804228651,-0.021370848686,-0.272804595
13.5,-0.664452,3.34183,-0.517341,-3.68966,29.0731,-3.72580580558125,-6.08767464537428,78.273853885875,0.80779129775,-0.02045432890675,-0.2747000025
14,-0.664453,3.34184,-0.517342,-3.68967,29.0732,-3.75081225874285,-6.1372886531776,78.874152744,0.811305284,-0.019491835672,-0.27659541
14.5,-0.664454,3.34185,-0.517343,-3.68968,29.0733,-3.77398933766549,-6.18304889067993,79.485506532125,0.81477060975,-0.01848307883525,-0.2784908175
15,-0.664455,3.34186,-0.517344,-3.68969,29.0734,-3.79544127964063,-6.2248765725,80.107366875,0.818187275,-0.01742776825,-0.280386225
15.5,-0.664456,3.34187,-0.517345,-3.68970,29.0735,-3.81526690092358,-6.26270048116758,80.739193833375,0.82155527975,-0.01632561376975,-0.2822816325
16,-0.664457,3.34188,-0.517346,-3.68971,29.0736,-3.83355979464909,-6.2964568253824,81.380455904,0.824874624,-0.015176325248,-0.28417704
16.5,-0.664458,3.34189,-0.517347,-3.68972,29.0737,-3.85040852531106,-6.32608909827322,82.030630019625,0.82814530775,-0.01397961253825,-0.2860724475
17,-0.664459,3.34190,-0.517348,-3.68973,29.0738,-3.86589681980642,-6.3515479356568,82.689201549,0.831367331,-0.012735185494,-0.287967855
17.5,-0.664460,3.34191,-0.517349,-3.68974,29.0739,-3.88010375504321,-6.37279097429687,83.355664296875,0.83454069375,-0.01144275396875,-0.2898632625
18,-0.664461,3.34192,-0.517350,-3.68975,29.0740,-3.89310394211283,-6.3897827101632,84.029520504,0.837665396,-0.010102027816,-0.29175867
18.5,-0.664462,3.34193,-0.517351,-3.68976,29.0741,-3.90496770702642,-6.40249435669053,84.710280847125,0.84074143775,-0.00871271688925001,-0.2936540775
19,-0.664463,3.34194,-0.517352,-3.68977,29.0742,-3.91576126801543,-6.4109037030376,85.397464439,0.843768819,-0.007274531042,-0.295549485
19.5,-0.664464,3.34195,-0.517353,-3.68978,29.0743,-3.92554690939644,-6.41499497234617,86.090598828375,0.84674753975,-0.00578718012775001,-0.2974448925
20,-0.664465,3.34196,-0.517354,-3.68979,29.0744,-3.934383152,-6.41475868,86.78922,0.8496776,-0.004250374,-0.2993403
20.5,-0.664466,3.34197,-0.517355,-3.68980,29.0745,-3.94232492016377,-6.41019149188382,87.492872374625,0.85255899975,-0.00266382251225,-0.3012357075
21,-0.664467,3.34198,-0.517356,-3.68981,29.0746,-3.94942370528975,-6.4012960826424,88.201108809,0.855391739,-0.001027235518,-0.303131115
