FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,38,0,0,0,0,0,0
5,1.93973830903125,3.90706001875,-0.517314,-3.0577972375,38,0,0,0,0,0,0
10,3.828109589,4.3209754,-0.517314,-2.5204889,38,0,0,0,0,0,0
15,5.14847405709375,4.61502094375,-0.517314,-2.0696949125,38,0,0,0,0,0,0
20,6.023661048,4.8173272,-0.517314,-1.6976452,38,0,0,0,0,0,0
25,6.55444384765625,4.95244046875,-0.517314,-1.3965696875,38,0,0,0,0,0,0
30,6.822439527,5.0413228,-0.517314,-1.1586983,38,0,0,0,0,0,0
35,6.89300877571875,5.10135199375,-0.517314,-0.9762609625,38,0,0,0,0,0,0
40,6.818155736,5.1463216,-0.517314,-0.8414876,38,0,0,0,0,0,0
45,6.63942783628125,5.18644091875,-0.517314,-0.746608137500001,38,0,0,0,0,0,0
50,6.390815625,5.228335,-0.517314,-0.6838525,38,0,0,0,0,0,0
55,6.10165260434375,5.27504464375,-0.517314,-0.6454506125,38,0,0,0,0,0,0
60,5.799515064,5.3260264,-0.517314,-0.6236324,38,0,0,0,0,0,0
65,5.51312191490623,5.37715256875,-0.517314,-0.610627787500001,38,0,0,0,0,0,0
70,5.275234523,5.4207112,-0.517314,-0.598666700000001,38,0,0,0,0,0,0
75,5.12555654296874,5.44540609375,-0.517314,-0.5799790625,38,0,0,0,0,0,0
