FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
5,-0.664425,3.34156,-0.517314,-3.0577972375,33,0,0,0,0,0,0
10,-0.664425,3.34156,-0.517314,-2.5204889,33,0,0,0,0,0,0
15,-0.664425,3.34156,-0.517314,-2.0696949125,33,0,0,0,0,0,0
20,-0.664425,3.34156,-0.517314,-1.6976452,33,0,0,0,0,0,0
25,-0.664425,3.34156,-0.517314,-1.3965696875,33,0,0,0,0,0,0
30,-0.664425,3.34156,-0.517314,-1.1586983,33,0,0,0,0,0,0
35,-0.664425,3.34156,-0.517314,-0.9762609625,33,0,0,0,0,0,0
40,-0.664425,3.34156,-0.517314,-0.8414876,33,0,0,0,0,0,0
45,-0.664425,3.34156,-0.517314,-0.746608137500001,33,0,0,0,0,0,0
50,-0.664425,3.34156,-0.517314,-0.6838525,33,0,0,0,0,0,0
55,-0.664425,3.34156,-0.517314,-0.6454506125,33,0,0,0,0,0,0
60,-0.664425,3.34156,-0.517314,-0.6236324,33,0,0,0,0,0,0
65,-0.664425,3.34156,-0.517314,-0.610627787500001,33,0,0,0,0,0,0
70,-0.664425,3.34156,-0.517314,-0.598666700000001,33,0,0,0,0,0,0
