FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.62987,10.6832,-0.517314,-3.68939,20,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.25,-0.486030278126758,10.715605040551,-0.435819249608176,-3.65545115624844,19.9939043573368,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.5,-0.344076243778125,10.7475482419406,-0.355679173105813,-3.6217664774875,19.9880425696386,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.75,-0.203993136079883,10.7790342069728,-0.276877591543488,-3.58833499245781,19.9824131938422,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1,-0.06576625045,10.81006751605,-0.199398404693,-3.5551557299,19.9770147822174,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.25,0.0706190614013673,10.8406527271729,-0.123225591047363,-3.52222771855469,19.9718458823667,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.5,0.205177391471875,10.8707943759406,-0.0483432078208125,-3.4895499871625,19.9669050372256,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.75,0.337923275466992,10.900496975551,0.0252646090511993,-3.45712156446406,19.9621907850624,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2,0.4688711928,10.9297650168,0.0976136449120001,-3.4249414792,19.9577016594784,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.25,0.598035566591992,10.9586029680822,0.168719606383699,-3.39300876011094,19.9534361894077,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.5,0.725430763671875,10.9870152753906,0.238598121367188,-3.3613224359375,19.9493928991172,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.75,0.851071094576367,11.0150063623166,0.307264739042137,-3.32988153542031,19.9455703082068,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3,0.97497081355,11.04258063005,0.374734929867,-3.2986850873,19.9419669316094,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.25,1.09714411854512,11.0697424573791,0.441024085579012,-3.26773212031719,19.9385812795905,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.5,1.21760515122187,11.0964962006906,0.506147519194188,-3.2370216632125,19.9354118577486,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.75,1.33636799694824,11.1228461939697,0.570120465007324,-3.20655274472656,19.9324571670151,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4,1.4534466848,11.1487967488,0.632958078592,-3.1763243936,19.9297157036544,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.25,1.56885518756074,11.1743521543635,0.694675436800574,-3.14633563857344,19.9271859592635,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.5,1.68260742172188,11.1995166774406,0.755287537764188,-3.1165855083875,19.9248664207726,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.75,1.79471724748262,11.2242945624103,0.814809300892762,-3.08707303178281,19.9227555704445,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5,1.90519846875,11.24869003125,0.873255566875,-3.0577972375,19.920851885875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.25,2.01406483313887,11.2727072835354,0.930641097678387,-3.02875715427969,19.9191538399928,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.5,2.12133003197188,11.2963504964406,0.986980576549188,-2.9999518108625,19.9176599010596,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
