FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,29.0704,0,0,0,0,0,0
5,-0.664425,3.34156,-0.517314,-3.68939,29.1204954377812,0,0,0,0,0,0
10,-0.664425,3.34156,-0.517314,-3.68939,29.070219418,0,0,0,0,0,0
15,-0.664425,3.34156,-0.517314,-3.68939,29.0739995300312,0,0,0,0,0,0
20,-0.664425,3.34156,-0.517314,-3.68939,29.181861552,0,0,0,0,0,0
25,-0.664425,3.34156,-0.517314,-3.68939,29.3806484570312,0,0,0,0,0,0
30,-0.664425,3.34156,-0.517314,-3.68939,29.627036122,0,0,0,0,0,0
35,-0.664425,3.34156,-0.517314,-3.68939,29.8723457387812,0,0,0,0,0,0
40,-0.664425,3.34156,-0.517314,-3.68939,30.079152928,0,0,0,0,0,0
45,-0.664425,3.34156,-0.517314,-3.68939,30.2296935552812,0,0,0,0,0,0
50,-0.664425,3.34156,-0.517314,-3.68939,30.32606625,0,0,0,0,0,0
55,-0.664425,3.34156,-0.517314,-3.68939,30.3822316265313,0,0,0,0,0,0
60,-0.664425,3.34156,-0.517314,-3.68939,30.407808208,0,0,0,0,0,0
65,-0.664425,3.34156,-0.517314,-3.68939,30.3836650525312,0,0,0,0,0,0
70,-0.664425,3.34156,-0.517314,-3.68939,30.229311082,0,0,0,0,0,0
75,-0.664425,3.34156,-0.517314,-3.68939,29.7620811132812,0,0,0,0,0,0
