FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
5,-0.664425,3.34156,-0.517314,-3.68939,35,0,0,0,0,0,0
10,-0.664425,3.34156,-0.517314,-3.68939,40,0,0,0,0,0,0
15,-0.664425,3.34156,-0.517314,-3.68939,45,0,0,0,0,0,0
20,-0.664425,3.34156,-0.517314,-3.68939,50,0,0,0,0,0,0
25,-0.664425,3.34156,-0.517314,-3.68939,55,0,0,0,0,0,0
30,-0.664425,3.34156,-0.517314,-3.68939,50,0,0,0,0,0,0
35,-0.664425,3.34156,-0.517314,-3.68939,45,0,0,0,0,0,0
40,-0.664425,3.34156,-0.517314,-3.68939,40,0,0,0,0,0,0
45,-0.664425,3.34156,-0.517314,-3.68939,35,0,0,0,0,0,0
50,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
55,-0.664425,3.34156,-0.517314,-3.68939,32,0,0,0,0,0,0
60,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
65,-0.664425,3.34156,-0.517314,-3.68939,34,0,0,0,0,0,0
70,-0.664425,3.34156,-0.517314,-3.68939,35,0,0,0,0,0,0
75,-0.664425,3.34156,-0.517314,-3.68939,33,0,0,0,0,0,0
