FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,29.0704,-2.4513834234375,-2.7,-35,68.4795,0.69452,-0.0300142
5,1.93973830903125,3.90706001875,0.873255566875,-3.0577972375,29.1204954377812,-2.42341046727052,-2.07976312500003,-34.85824171875,68.543204759625,0.69934781975,-0.03019114864225
10,3.828109589,4.3209754,1.83848407,-2.5204889,29.070219418,-2.08197058090664,-1.30972461050817,-35.95221861162,68.635959389,0.704126979,-0.030329667638
15,5.14847405709375,4.61502094375,2.489854666875,-2.0696949125,29.0739995300312,-1.33240180510593,-1.77556503169917,-40.8691653188054,68.756987740875,0.70885747775,-0.03042946684075
20,6.023661048,4.8173272,2.92625512,-1.6976452,29.181861552,-0.220447530308681,-1.95867764303228,-46.2697087431508,68.905522104,0.713539316,-0.030490256104
25,6.55444384765625,4.95244046875,3.233977796875,-1.3965696875,29.3806484570312,1.1147745296913,-1.41976905312036,-51.486062471371,69.080803203125,0.71817249375,-0.03051174528125
30,6.822439527,5.0413228,3.48671967,-1.1586983,29.627036122,2.48324382595246,-0.352545763200332,-57.1500875116805,69.282080199,0.722757011,-0.030493644226
35,6.89300877571875,5.10135199375,3.745582316875,-0.9762609625,29.8723457387812,3.68194892446991,0.773982739542944,-64.1497368357282,69.508610688375,0.72729286775,-0.03043566279175
40,6.818155736,5.1463216,4.05907192,-0.8414876,30.079152928,4.52823991813903,1.48458433379576,-72.913883724863,69.759660704,0.731780064,-0.030337510832
45,6.63942783628125,5.18644091875,4.463099266875,-0.746608137500001,30.2296935552812,4.88862130059726,1.47826806107793,-83.0255339207014,70.034504714625,0.73621859975,-0.03019889820025
50,6.390815625,5.228335,4.98097975000001,-0.6838525,30.32606625,4.70298530194568,0.720131367856386,-93.1634215800009,70.332425625,0.740608475,-0.03001953475
55,6.10165260434375,5.27504464375,5.623433366875,-0.6454506125,30.3822316265313,4.00428568634874,-0.555409207200967,-101.371989033866,70.652714775875,0.74494968975,-0.02979913033475
60,5.799515064,5.3260264,6.38858472,-0.6236324,30.407808208,2.93365201151324,-1.93000390082178,-105.659750351262,70.994671944,0.749242244,-0.029537394808
65,5.51312191490623,5.37715256875,7.26196301687501,-0.610627787500001,30.3836650525312,1.7509443500442,-2.97537214759932,-104.926038706845,71.357605342125,0.75348613775,-0.02923403802325
70,5.275234523,5.4207112,8.21650207,-0.598666700000001,30.229311082,0.840748472685956,-3.51592155727828,-100.216137553071,71.740831619,0.757681371,-0.028888769834
75,5.12555654296874,5.44540609375,9.21254029687501,-0.5799790625,29.7620811132812,0.713811493432383,-3.97998344693727,-96.3047955966967,72.143675859375,0.76182794375,-0.02850130009375
