FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
3.5,1.21760515122187,-2.1154,0.506147519194188,-3.2370216632125,15.0526118577486,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.75,1.33636799694824,-2.1417499932791,0.570120465007324,-3.20655274472656,15.0496571670151,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4,1.4534466848,-2.16770054810937,0.632958078592,-3.1763243936,15.0469157036544,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.25,1.56885518756074,-2.19325595367285,0.694675436800574,-3.14633563857344,15.0443859592635,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.5,1.68260742172188,-2.21842047675,0.755287537764188,-3.1165855083875,15.0420664207726,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.75,1.79471724748262,-2.24319836171972,0.814809300892762,-3.08707303178281,15.0399555704445,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5,1.90519846875,-2.26759383055937,0.873255566875,-3.0577972375,15.038051885875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.25,2.01406483313887,-2.29161108284472,0.930641097678387,-3.02875715427969,15.0363538399928,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.5,2.12133003197188,-2.31525429575,0.986980576549188,-2.9999518108625,15.0348599010596,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.75,2.22700770027949,-2.33852762404785,1.04228860801245,-2.97138023598906,15.0335685326697,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6,2.3311114168,-2.36143520010937,1.096579717872,-2.9430414584,15.0324781937504,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.25,2.43365470397949,-2.3839811339041,1.14986835321045,-2.91493450683594,15.031587338562,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.5,2.53465102797188,-2.406169513,1.20216888238919,-2.8870584100375,15.0308944166976,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.75,2.63411379863887,-2.42800440256347,1.25349559504839,-2.85941219674531,15.0303978730831,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7,2.73205636955,-2.44948984535937,1.303862702107,-2.8319948957,15.0300961479774,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.25,2.82849203798262,-2.47062986175097,1.35328433576276,-2.80480553564219,15.0299876769722,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.5,2.92343404492188,-2.4914284497,1.40177454949219,-2.7778431453125,15.0300708909922,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.75,3.01689557506074,-2.5118895847666,1.44934731805057,-2.75110675345156,15.0303442162948,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8,3.1088897568,-2.53201722010937,1.496016537472,-2.7245953888,15.0308060744704,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.25,3.19942966224824,-2.55181528648535,1.54179602506932,-2.69830808009844,15.0314548824423,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.5,3.28852830722188,-2.57128769225,1.58669951943419,-2.6722438560875,15.0322890524666,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.75,3.37619865124512,-2.59043832335722,1.63074068043701,-2.64640174550781,15.0333069921323,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9,3.46245359755,-2.60927104335937,1.673933089227,-2.6207807771,15.0345071043614,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.25,3.54730599307637,-2.62778969340722,1.71629024823214,-2.59537997960469,15.0358877874086,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.5,3.63076862847188,-2.64599809225,1.75782558115919,-2.5701983817625,15.0374474348616,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.75,3.71285423809199,-2.66390003623535,1.7985524329937,-2.54523501231406,15.0391844356409,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10,3.7935755,-2.68149929930937,1.83848407,-2.5204889,15.041097174,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.25,3.87294503596699,-2.6987996330166,1.8776336797212,-2.49595907356094,15.0431840295252,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.5,3.95097541147188,-2.7158047665,1.91601437097919,-2.4716445617375,15.0454433771356,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.75,4.02767913570137,-2.73251840650097,1.95363917387464,-2.44754439327031,15.0478735870833,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11,4.10306866155,-2.74894423735937,1.990521039787,-2.4236575969,15.0504730249534,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.25,4.17715638562012,-2.76508592101347,2.02667284137451,-2.39998320136718,15.0532400516636,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.5,4.24995464822188,-2.780947097,2.06210737257419,-2.3765202354125,15.0561730234646,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.75,4.32147573337324,-2.7965313824541,2.09683734860182,-2.35326772777656,15.05927029194,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12,4.3917318688,-2.81184237210937,2.130875405952,-2.33022470719999,15.0625302040064,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.25,4.46073522593574,-2.82688363829785,2.16423410239808,-2.30739020242343,15.065951101913,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.5,4.52849791992188,-2.84165873095,2.19692591699219,-2.28476324218749,15.0695313232422,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.75,4.59503200960762,-2.85617117759472,2.22896325006526,-2.26234285523281,15.073269200909,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13,4.66034949755,-2.87042448335937,2.260358423227,-2.24012807029999,15.0771630631614,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.25,4.72446233001387,-2.88442213096972,2.29112367936589,-2.21811791612968,15.0812112335803,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.5,4.78738239697187,-2.89816758075,2.32127118264919,-2.19631142146249,15.0854120310796,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.75,4.84912153210449,-2.91166427062285,2.35081301852295,-2.17470761503905,15.0897637699058,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14,4.9096915128,-2.92491561610937,2.379761193712,-2.15330552559999,15.0942647596384,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.25,4.96910406015449,-2.9379250103291,2.40812763621995,-2.13210418188593,15.0989133051899,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.5,5.02737083897188,-2.950695824,2.43592419532919,-2.11110261263749,15.1037077068056,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.75,5.08450345776387,-2.96323140543847,2.46316264160089,-2.0902998465953,15.1086462600636,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15,5.14051346875,-2.97553508055937,2.489854666875,-2.06969491249999,15.113727255875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.25,5.19541236785762,-2.98761015287597,2.51601188427026,-2.04928683909217,15.1189489804837,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.5,5.24921159472188,-2.9994599035,2.54164582818419,-2.02907465511249,15.1243097154666,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.75,5.30192253268574,-3.0110875911416,2.56676795429307,-2.00905738930155,15.1298077377333,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16,5.3535565088,-3.02249645210937,2.591389639552,-1.98923407039998,15.1354413195264,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.25,5.40412479382324,-3.03368970031035,2.61552218219482,-1.96960372714842,15.1412087284214,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.5,5.45363860222187,-3.04467052725,2.63917680173419,-1.95016538828748,15.1471082273266,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.75,5.50210909217012,-3.05544210203222,2.66236463896151,-1.93091808255779,15.1531380744832,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17,5.54954736555,-3.06600757135937,2.685096755947,-1.91186083869998,15.1592965234654,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.25,5.59596446795137,-3.07637005953222,2.70738413603964,-1.89299268545467,15.1655818231801,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.5,5.64137138867187,-3.08653266845,2.72923768386719,-1.87431265156248,15.1719922178672,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.75,5.68577906071699,-3.09649847761035,2.7506682253362,-1.85581976576404,15.1785259470994,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18,5.7291983608,-3.10627054410937,2.771686507632,-1.83751305679997,15.1851812457824,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.25,5.77164010934199,-3.1158519026416,2.7923031992187,-1.81939155341091,15.1919563441547,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.5,5.81311507047188,-3.1252455655,2.81252888983919,-1.80145428433747,15.1988494677876,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.75,5.85363395202637,-3.13445452257597,2.83237409051514,-1.78370027832028,15.2058588375854,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19,5.89320740555,-3.14348174135937,2.851849233547,-1.76612856409997,15.2129826697854,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.25,5.93184602629512,-3.15233016693847,2.87096467251401,-1.74873817041715,15.2202191759575,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.5,5.96956035322188,-3.161002722,2.88973068227419,-1.73152812601246,15.2275665630046,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.75,6.00636086899824,-3.1695023068291,2.90815745896433,-1.71449745962653,15.2350230331625,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20,6.042258,-3.17783179930937,2.92625512,-1.69764519999996,15.242586784,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.25,6.07726211631074,-3.18599405492285,2.94403370407558,-1.6809703758734,15.2502560084185,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.5,6.11138353172188,-3.19399190675,2.96150317116419,-1.66447201598746,15.2580288946526,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.75,6.14463250373262,-3.20182816546972,2.97867340251776,-1.64814914908277,15.2659036262695,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21,6.17701923355,-3.20950561935937,2.995554200667,-1.63200080389995,15.2738783821694,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21.25,6.20855386608887,-3.21702703429472,3.01215528942139,-1.61602600917964,15.2819513365854,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21.5,6.23924648997188,-3.22439515375,3.02848631386919,-1.60022379366245,15.2901206590836,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21.75,6.26910713752949,-3.23161269879785,3.04455684037745,-1.58459318608901,15.2983845145627,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22,6.2981457848,-3.23868236810937,3.060376356592,-1.56913321519994,15.3067410632544,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22.25,6.32637235152949,-3.2456068379541,3.07595427143745,-1.55384290973588,15.3151884607234,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22.5,6.35379670117188,-3.2523887622,3.09129991511719,-1.53872129843744,15.3237248578672,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22.75,6.38042864088887,-3.25903077231347,3.10642253911339,-1.52376741004525,15.3323484009161,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23,6.40627792155,-3.26553547735937,3.121331316187,-1.50898027329993,15.3410572314334,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23.25,6.43135423773262,-3.27190546400097,3.13603534037776,-1.49435891694212,15.3498494863152,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23.5,6.45566722772188,-3.2781432965,3.15054362700419,-1.47990236971243,15.3587232977906,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23.75,6.47922647351074,-3.2842515167166,3.16486511266358,-1.46560966035149,15.3676767934214,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24,6.5020415008,-3.29023264410937,3.179008655232,-1.45147981759992,15.3767080961024,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24.25,6.52412177899824,-3.29608917573535,3.19298303386433,-1.43751187019835,15.3858153240613,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24.5,6.54547672122187,-3.30182358625,3.20679694899419,-1.42370484688741,15.3949965908586,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24.75,6.56611568429512,-3.30743832790722,3.22045902233401,-1.41005777640772,15.4042500053877,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25,6.58604796875,-3.31293583055937,3.233977796875,-1.3965696874999,15.413573671875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25.25,6.60528281882637,-3.31831850165722,3.24736173688714,-1.38323960890459,15.4229656898796,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25.5,6.62382942247187,-3.32358872625,3.26061922791919,-1.3700665693624,15.4324241542936,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25.75,6.64169691134199,-3.32874886698535,3.2737585767987,-1.35704959761396,15.4419471553419,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26,6.6588943608,-3.33380126410937,3.286788011632,-1.34418772239989,15.4515327785824,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26.25,6.67543078991699,-3.3387482354666,3.2997156818042,-1.33147997246082,15.4611791049058,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26.5,6.69131516147188,-3.3435920765,3.31254965797919,-1.31892537653738,15.4708842105356,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26.75,6.70655638195137,-3.34833506025097,3.32529793209964,-1.30652296337019,15.4806461670283,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27,6.72116330155,-3.35297943735937,3.337968417387,-1.29427176169987,15.4904630412734,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27.25,6.73514471417012,-3.35752743606347,3.35056894834151,-1.28217080026705,15.500332895493,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27.5,6.74850935742188,-3.3619812622,3.36310728074219,-1.27021910781236,15.5102537872422,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27.75,6.76126591262324,-3.3663430992041,3.37559109164683,-1.25841571307642,15.520223769409,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28,6.7734230048,-3.37061510810937,3.388027979392,-1.24675964479985,15.5302408902144,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28.25,6.78498920268574,-3.37479942754785,3.40042546359308,-1.23524993172328,15.540303193212,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28.5,6.79597301872187,-3.37889817375,3.41279098514419,-1.22388560258734,15.5504087172886,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28.75,6.80638290905762,-3.38291344054472,3.42513190621826,-1.21266568613265,15.5605554966636,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
29,6.81622727355,-3.38684729935937,3.437455510267,-1.20158921109983,15.5707415608894,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
