FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm),
0,-0.664425,3.34156,-0.517314,-3.68939,29.0704,29.0704,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0,-0.664425,3.90706001875,-0.517314,-3.68939,29.0704,29.0705,-1.93255738058917,-3.90308237291883,68.543204759625,0.69934781975,-0.03019114864225,-0.2254194075
0,-0.664425,4.3209754,-0.517314,-3.68939,29.0704,29.0706,-2.06466448610059,-3.9970817728024,68.635959389,0.704126979,-0.030329667638,-0.227314815
0,-0.664425,4.61502094375,-0.517314,-3.68939,29.0704,29.0707,-2.18959928839804,-4.09239650257448,68.756987740875,0.70885747775,-0.03042946684075,-0.2292102225
0,-0.664425,4.8173272,-0.517314,-3.68939,29.0704,29.0708,-2.30768769584595,-4.1887012600768,68.905522104,0.713539316,-0.030490256104,-0.23110563
0,-0.664425,4.95244046875,-0.517314,-3.68939,29.0704,29.0709,-2.41924384399243,-4.28568199632813,69.080803203125,0.71817249375,-0.03051174528125,-0.2330010375
0,-0.664425,5.0413228,-0.517314,-3.68939,29.0704,29.0710,-2.5245703828163,-4.3830357737832,69.282080199,0.722757011,-0.030493644226,-0.234896445
0,-0.664425,5.10135199375,-0.517314,-3.68939,29.0704,29.0711,-2.62395876053837,-4.48047062459178,69.508610688375,0.72729286775,-0.03043566279175,-0.2367918525
0,-0.664425,5.1463216,-0.517314,-3.68939,29.0704,29.0712,-2.71768950399693,-4.5777054088576,69.759660704,0.731780064,-0.030337510832,-0.23868726
0,-0.664425,5.18644091875,-0.517314,-3.68939,29.0704,29.0713,-2.80603249558729,-4.67446967289743,70.034504714625,0.73621859975,-0.03019889820025,-0.2405826675
0,-0.664425,5.228335,-0.517314,-3.68939,29.0704,29.0714,-2.88924724676563,-4.7705035075,70.332425625,0.740608475,-0.03001953475,-0.242478075
0,-0.664425,5.27504464375,-0.517314,-3.68939,29.0704,29.0715,-2.9675831681169,-4.86555740618508,70.652714775875,0.74494968975,-0.02979913033475,-0.2443734825
0,-0.664425,5.3260264,-0.517314,-3.68939,29.0704,29.0716,-3.04127983598701,-4.9593921234624,70.994671944,0.749242244,-0.029537394808,-0.24626889
0,-0.664425,5.37715256875,-0.517314,-3.68939,29.0704,29.0717,-3.11056725567906,-5.05177853309072,71.357605342125,0.75348613775,-0.02923403802325,-0.2481642975
0,-0.664425,5.4207112,-0.517314,-3.68939,29.0704,29.0718,-3.17566612121386,-5.1424974863368,71.740831619,0.757681371,-0.028888769834,-0.250059705
0,-0.664425,5.44540609375,-0.517314,-3.68939,29.0704,29.0719,-3.23678807165454,-5.23133967023437,72.143675859375,0.76182794375,-0.02850130009375,-0.2519551125
