FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
3.25,2.1154397,4.94033,16.75172,-2.15338,16.75172,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.5,2.235900732,4.967083744,16.816843433,-2.122669543,16.68713186,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.75,2.354663578,4.993433737,16.880816379,-2.092200625,16.68417717,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4,2.471742266,5.019384292,16.943653993,-2.061972274,16.6814357,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.25,2.587150769,5.044939697,17.005371351,-2.031983519,16.67890596,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.5,2.700903003,5.07010422,17.065983452,-2.002233388,16.67658642,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.75,2.813012828,5.094882105,17.125505215,-1.972720912,16.67447557,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5,2.92349405,5.119277574,17.183951481,-1.943445118,16.67257189,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.25,3.032360414,5.143294827,17.241337012,-1.914405034,16.67087384,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.5,3.139625613,5.166938039,17.297676491,-1.885599691,16.6693799,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.75,3.245303281,5.190211368,17.352984522,-1.857028116,16.66808853,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6,3.349406998,5.213118944,17.407275632,-1.828689338,16.66699819,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.25,3.451950285,5.235664878,17.460564267,-1.800582387,16.66610734,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.5,3.552946609,5.257853257,17.512864796,-1.77270629,16.66541442,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.75,3.65240938,5.279688146,17.564191509,-1.745060077,16.66491787,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7,3.750351951,5.301173589,17.614558616,-1.717642776,16.66461615,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.25,3.846787619,5.322313605,17.66398025,-1.690453416,16.66450768,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.5,3.941729626,5.343112193,17.712470463,-1.663491025,16.66459089,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.75,4.035191156,5.363573328,17.760043232,-1.636754633,16.66486422,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8,4.127185338,5.383700964,17.806712451,-1.610243269,16.66532607,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.25,4.217725243,5.40349903,17.852491939,-1.58395596,16.66597488,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.5,4.306823888,5.422971436,17.897395433,-1.557891736,16.66680905,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.75,4.394494232,5.442122067,17.941436594,-1.532049626,16.66782699,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9,4.480749179,5.460954787,17.984629003,-1.506428657,16.6690271,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.25,4.565601574,5.479473437,18.026986162,-1.48102786,16.67040779,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.5,4.649064209,5.497681836,18.068521495,-1.455846262,16.67196743,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.75,4.731149819,5.51558378,18.109248347,-1.430882892,16.67370444,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10,4.811871081,5.533183043,18.149179984,-1.40613678,16.67561717,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.25,4.891240617,5.550483377,18.188329594,-1.381606954,16.67770403,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.5,4.969270992,5.56748851,18.226710285,-1.357292442,16.67996338,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.75,5.045974717,5.58420215,18.264335088,-1.333192273,16.68239359,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11,5.121364243,5.600627981,18.301216954,-1.309305477,16.68499302,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.25,5.195451967,5.616769665,18.337368755,-1.285631081,16.68776005,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.5,5.268250229,5.632630841,18.372803287,-1.262168115,16.69069302,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.75,5.339771314,5.648215126,18.407533263,-1.238915608,16.69379029,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12,5.41002745,5.663526116,18.44157132,-1.215872587,16.6970502,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.25,5.479030807,5.678567382,18.474930016,-1.193038082,16.7004711,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
