FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
3.5,4.94,2.1154,16.75172,2.15338,12.47884,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.75,5.05876284572637,2.1417499932791,16.8156929458131,2.18384891848594,12.4758853092665,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4,5.17584153357813,2.16770054810937,16.8785305593978,2.2140772696125,12.4731438459058,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.25,5.29125003633887,2.19325595367285,16.9402479176064,2.24406602463906,12.4706141015149,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.5,5.40500227050001,2.21842047675,17.00086001857,2.273816154825,12.468294563024,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.75,5.51711209626075,2.24319836171972,17.0603817816986,2.30332863142969,12.4661837126959,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5,5.62759331752813,2.26759383055937,17.1188280476808,2.3326044257125,12.4642800281264,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.25,5.736459681917,2.29161108284472,17.1762135784842,2.36164450893281,12.4625819822442,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.5,5.84372488075001,2.31525429575,17.232553057355,2.39044985235,12.461088043311,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.75,5.94940254905762,2.33852762404785,17.2878610888183,2.41902142722344,12.4597966749211,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6,6.05350626557813,2.36143520010937,17.3421521986778,2.4473602048125,12.4587063360018,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.25,6.15604955275762,2.3839811339041,17.3954408340163,2.47546715637656,12.4578154808134,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.5,6.25704587675001,2.406169513,17.447741363195,2.503343253175,12.457122558949,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.75,6.356508647417,2.42800440256347,17.4990680758542,2.53098946646719,12.4566260153345,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7,6.45445121832813,2.44948984535937,17.5494351829128,2.5584067675125,12.4563242902288,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.25,6.55088688676075,2.47062986175097,17.5988568165686,2.58559612757031,12.4562158192236,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.5,6.64582889370001,2.4914284497,17.647347030298,2.6125585179,12.4562990332436,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.75,6.73929042383887,2.5118895847666,17.6949197988564,2.63929490976094,12.4565723585462,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8,6.83128460557813,2.53201722010937,17.7415890182778,2.6658062744125,12.4570342167218,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.25,6.92182451102637,2.55181528648535,17.7873685058751,2.69209358311406,12.4576830246937,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.5,7.01092315600001,2.57128769225,17.83227200024,2.718157807125,12.458517194718,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.75,7.09859350002325,2.59043832335722,17.8763131612428,2.74399991770469,12.4595351343837,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9,7.18484844632813,2.60927104335937,17.9195055700328,2.7696208861125,12.4607352466128,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.25,7.2697008418545,2.62778969340722,17.961862729038,2.79502168360781,12.46211592966,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.5,7.35316347725001,2.64599809225,18.003398061965,2.82020328145,12.463675577113,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.75,7.43524908687012,2.66390003623535,18.0441249137995,2.84516665089844,12.4654125778923,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10,7.51597034877813,2.68149929930937,18.0840565508058,2.8699127632125,12.4673253162514,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.25,7.59533988474512,2.6987996330166,18.123206160527,2.89444258965156,12.4694121717766,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.5,7.67337026025001,2.7158047665,18.161586851785,2.918757101475,12.471671519387,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.75,7.7500739844795,2.73251840650097,18.1992116546805,2.94285726994219,12.4741017293347,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11,7.82546351032813,2.74894423735937,18.2360935205928,2.9667440663125,12.4767011672048,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.25,7.89955123439825,2.76508592101347,18.2722453221803,2.99041846184532,12.479468193915,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.5,7.97234949700001,2.780947097,18.30767985338,3.0138814278,12.482401165716,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.75,8.04387058215137,2.7965313824541,18.3424098294076,3.03713393543594,12.4854984341914,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12,8.11412671757813,2.81184237210937,18.3764478867578,3.06017695601251,12.4887583462578,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.25,8.18313007471387,2.82688363829785,18.4098065832039,3.08301146078907,12.4921792441644,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.5,8.25089276870001,2.84165873095,18.442498397798,3.10563842102501,12.4957594654936,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.75,8.31742685838575,2.85617117759472,18.4745357308711,3.12805880797969,12.4994973431604,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13,8.38274434632813,2.87042448335937,18.5059309040328,3.15027359291251,12.5033912054128,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.25,8.446857178792,2.88442213096972,18.5366961601717,3.17228374708282,12.5074393758317,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.5,8.50977724575,2.89816758075,18.566843663455,3.19409024175001,12.511640173331,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.75,8.57151638088262,2.91166427062285,18.5963854993288,3.21569404817345,12.5159919121572,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14,8.63208636157813,2.92491561610937,18.6253336745178,3.23709613761251,12.5204929018898,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.25,8.69149890893262,2.9379250103291,18.6537001170258,3.25829748132657,12.5251414474413,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.5,8.74976568775001,2.950695824,18.681496676135,3.27929905057501,12.529935849057,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.75,8.806898306542,2.96323140543847,18.7087351224067,3.3001018166172,12.534874402315,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15,8.86290831752813,2.97553508055937,18.7354271476808,3.32070675071251,12.5399553981264,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.25,8.91780721663575,2.98761015287597,18.7615843650761,3.34111482412033,12.5451771227351,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.5,8.97160644350001,2.9994599035,18.78721830899,3.36132700810001,12.550537857718,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.75,9.02431738146387,3.0110875911416,18.8123404350989,3.38134427391095,12.5560358799847,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16,9.07595135757813,3.02249645210937,18.8369621203578,3.40116759281252,12.5616694617778,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.25,9.12651964260137,3.03368970031035,18.8610946630006,3.42079793606408,12.5674368706728,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.5,9.176033451,3.04467052725,18.88474928254,3.44023627492502,12.573336369578,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.75,9.22450394094825,3.05544210203222,18.9079371197673,3.45948358065471,12.5793662167346,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17,9.27194221432813,3.06600757135937,18.9306692367528,3.47854082451252,12.5855246657168,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.25,9.3183593167295,3.07637005953222,18.9529566168455,3.49740897775783,12.5918099654315,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.5,9.36376623745,3.08653266845,18.974810164673,3.51608901165002,12.5982203601186,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.75,9.40817390949512,3.09649847761035,18.996240706142,3.53458189744846,12.6047540893508,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18,9.45159320957813,3.10627054410937,19.0172589884378,3.55288860641253,12.6114093880338,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.25,9.49403495812012,3.1158519026416,19.0378756800245,3.57101010980159,12.6181844864061,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.5,9.53550991925001,3.1252455655,19.058101370645,3.58894737887503,12.625077610039,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.75,9.5760288008045,3.13445452257597,19.077946571321,3.60670138489222,12.6320869798368,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19,9.61560225432813,3.14348174135937,19.0974217143528,3.62427309911253,12.6392108120368,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.25,9.65424087507325,3.15233016693847,19.1165371533198,3.64166349279535,12.6464473182089,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.5,9.69195520200001,3.161002722,19.13530316308,3.65887353720004,12.653794705256,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.75,9.72875571777637,3.1695023068291,19.1537299397701,3.67590420358597,12.6612511754139,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20,9.76465284877813,3.17783179930937,19.1718276008058,3.69275646321254,12.6688149262514,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.25,9.79965696508887,3.18599405492285,19.1896061848814,3.7094312873391,12.6764841506699,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.5,9.83377838050001,3.19399190675,19.20707565197,3.72592964722504,12.684257036904,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.75,9.86702735251075,3.20182816546972,19.2242458833236,3.74225251412973,12.6921317685209,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21,9.89941408232813,3.20950561935937,19.2411266814728,3.75840085931255,12.7001065244208,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
