FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.62987,2.1154,-0.517314,-3.68939,12.47884,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.25,-0.486030278126758,2.1417499932791,-0.435819249608176,-3.65545115624844,12.4758853092665,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.5,-0.344076243778125,2.16770054810937,-0.355679173105813,-3.6217664774875,12.4731438459058,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.75,-0.203993136079883,2.19325595367285,-0.276877591543488,-3.58833499245781,12.4706141015149,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1,-0.06576625045,2.21842047675,-0.199398404693,-3.5551557299,12.468294563024,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.25,0.0706190614013673,2.24319836171972,-0.123225591047363,-3.52222771855469,12.4661837126959,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.5,0.205177391471875,2.26759383055937,-0.0483432078208125,-3.4895499871625,12.4642800281264,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.75,0.337923275466992,2.29161108284472,0.0252646090511993,-3.45712156446406,12.4625819822442,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2,0.4688711928,2.31525429575,0.0976136449120001,-3.4249414792,12.461088043311,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.25,0.598035566591992,2.33852762404785,0.168719606383699,-3.39300876011094,12.4597966749211,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.5,0.725430763671875,2.36143520010937,0.238598121367188,-3.3613224359375,12.4587063360018,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.75,0.851071094576367,2.3839811339041,0.307264739042137,-3.32988153542031,12.4578154808134,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3,0.97497081355,2.406169513,0.374734929867,-3.2986850873,12.457122558949,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.25,1.09714411854512,2.42800440256347,0.441024085579012,-3.26773212031719,12.4566260153345,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.5,1.21760515122187,2.44948984535937,0.506147519194188,-3.2370216632125,12.4563242902288,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.75,1.33636799694824,2.47062986175097,0.570120465007324,-3.20655274472656,12.4562158192236,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4,1.4534466848,2.4914284497,0.632958078592,-3.1763243936,12.4562990332436,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.25,1.56885518756074,2.5118895847666,0.694675436800574,-3.14633563857344,12.4565723585462,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.5,1.68260742172188,2.53201722010937,0.755287537764188,-3.1165855083875,12.4570342167218,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.75,1.79471724748262,2.55181528648535,0.814809300892762,-3.08707303178281,12.4576830246937,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5,1.90519846875,2.57128769225,0.873255566875,-3.0577972375,12.458517194718,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.25,2.01406483313887,2.59043832335722,0.930641097678387,-3.02875715427969,12.4595351343837,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.5,2.12133003197188,2.60927104335937,0.986980576549188,-2.9999518108625,12.4607352466128,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.75,2.22700770027949,2.62778969340722,1.04228860801245,-2.97138023598906,12.46211592966,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6,2.3311114168,2.64599809225,1.096579717872,-2.9430414584,12.463675577113,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.25,2.43365470397949,2.66390003623535,1.14986835321045,-2.91493450683594,12.4654125778923,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.5,2.53465102797188,2.68149929930937,1.20216888238919,-2.8870584100375,12.4673253162514,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.75,2.63411379863887,2.6987996330166,1.25349559504839,-2.85941219674531,12.4694121717766,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7,2.73205636955,2.7158047665,1.303862702107,-2.8319948957,12.471671519387,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.25,2.82849203798262,2.73251840650097,1.35328433576276,-2.80480553564219,12.4741017293347,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.5,2.92343404492188,2.74894423735937,1.40177454949219,-2.7778431453125,12.4767011672048,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.75,3.01689557506074,2.76508592101347,1.44934731805057,-2.75110675345156,12.479468193915,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8,3.1088897568,2.780947097,1.496016537472,-2.7245953888,12.482401165716,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.25,3.19942966224824,2.7965313824541,1.54179602506932,-2.69830808009844,12.4854984341914,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.5,3.28852830722188,2.81184237210937,1.58669951943419,-2.6722438560875,12.4887583462578,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.75,3.37619865124512,2.82688363829785,1.63074068043701,-2.64640174550781,12.4921792441644,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9,3.46245359755,2.84165873095,1.673933089227,-2.6207807771,12.4957594654936,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.25,3.54730599307637,2.85617117759472,1.71629024823214,-2.59537997960469,12.4994973431604,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.5,3.63076862847188,2.87042448335937,1.75782558115919,-2.5701983817625,12.5033912054128,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.75,3.71285423809199,2.88442213096972,1.7985524329937,-2.54523501231406,12.5074393758317,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10,3.7935755,2.89816758075,1.83848407,-2.5204889,12.511640173331,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.25,3.87294503596699,2.91166427062285,1.8776336797212,-2.49595907356094,12.5159919121572,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.5,3.95097541147188,2.92491561610937,1.91601437097919,-2.4716445617375,12.5204929018898,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.75,4.02767913570137,2.9379250103291,1.95363917387464,-2.44754439327031,12.5251414474413,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11,4.10306866155,2.950695824,1.990521039787,-2.4236575969,12.529935849057,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.25,4.17715638562012,2.96323140543847,2.02667284137451,-2.39998320136718,12.534874402315,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.5,4.24995464822188,2.97553508055937,2.06210737257419,-2.3765202354125,12.5399553981264,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.75,4.32147573337324,2.98761015287597,2.09683734860182,-2.35326772777656,12.5451771227351,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12,4.3917318688,2.9994599035,2.130875405952,-2.33022470719999,12.550537857718,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.25,4.46073522593574,3.0110875911416,2.16423410239808,-2.30739020242343,12.5560358799847,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.5,4.52849791992188,3.02249645210937,2.19692591699219,-2.28476324218749,12.5616694617778,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.75,4.59503200960762,3.03368970031035,2.22896325006526,-2.26234285523281,12.5674368706728,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13,4.66034949755,3.04467052725,2.260358423227,-2.24012807029999,12.573336369578,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.25,4.72446233001387,3.05544210203222,2.29112367936589,-2.21811791612968,12.5793662167346,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.5,4.78738239697187,3.06600757135937,2.32127118264919,-2.19631142146249,12.5855246657168,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.75,4.84912153210449,3.07637005953222,2.35081301852295,-2.17470761503905,12.5918099654315,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14,4.9096915128,3.08653266845,2.379761193712,-2.15330552559999,12.5982203601186,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.25,4.96910406015449,3.09649847761035,2.40812763621995,-2.13210418188593,12.6047540893508,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.5,5.02737083897188,3.10627054410937,2.43592419532919,-2.11110261263749,12.6114093880338,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.75,5.08450345776387,3.1158519026416,2.46316264160089,-2.0902998465953,12.6181844864061,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15,5.14051346875,3.1252455655,2.489854666875,-2.06969491249999,12.625077610039,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.25,5.19541236785762,3.13445452257597,2.51601188427026,-2.04928683909217,12.6320869798368,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.5,5.24921159472188,3.14348174135937,2.54164582818419,-2.02907465511249,12.6392108120368,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.75,5.30192253268574,3.15233016693847,2.56676795429307,-2.00905738930155,12.6464473182089,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16,5.3535565088,3.161002722,2.591389639552,-1.98923407039998,12.653794705256,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.25,5.40412479382324,3.1695023068291,2.61552218219482,-1.96960372714842,12.6612511754139,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.5,5.45363860222187,3.17783179930937,2.63917680173419,-1.95016538828748,12.6688149262514,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
16.75,5.50210909217012,3.18599405492285,2.66236463896151,-1.93091808255779,12.6764841506699,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17,5.54954736555,3.19399190675,2.685096755947,-1.91186083869998,12.684257036904,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.25,5.59596446795137,3.20182816546972,2.70738413603964,-1.89299268545467,12.6921317685209,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.5,5.64137138867187,3.20950561935937,2.72923768386719,-1.87431265156248,12.7001065244208,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
17.75,5.68577906071699,3.21702703429472,2.7506682253362,-1.85581976576404,12.7081794788368,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18,5.7291983608,3.22439515375,2.771686507632,-1.83751305679997,12.716348801335,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.25,5.77164010934199,3.23161269879785,2.7923031992187,-1.81939155341091,12.7246126568141,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.5,5.81311507047188,3.23868236810937,2.81252888983919,-1.80145428433747,12.7329692055058,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
18.75,5.85363395202637,3.2456068379541,2.83237409051514,-1.78370027832028,12.7414166029748,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19,5.89320740555,3.2523887622,2.851849233547,-1.76612856409997,12.7499530001186,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.25,5.93184602629512,3.25903077231347,2.87096467251401,-1.74873817041715,12.7585765431675,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.5,5.96956035322188,3.26553547735937,2.88973068227419,-1.73152812601246,12.7672853736848,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
19.75,6.00636086899824,3.27190546400097,2.90815745896433,-1.71449745962653,12.7760776285666,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20,6.042258,3.2781432965,2.92625512,-1.69764519999996,12.784951440042,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.25,6.07726211631074,3.2842515167166,2.94403370407558,-1.6809703758734,12.7939049356728,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.5,6.11138353172188,3.29023264410937,2.96150317116419,-1.66447201598746,12.8029362383538,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
20.75,6.14463250373262,3.29608917573535,2.97867340251776,-1.64814914908277,12.8120434663127,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21,6.17701923355,3.30182358625,2.995554200667,-1.63200080389995,12.82122473311,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21.25,6.20855386608887,3.30743832790722,3.01215528942139,-1.61602600917964,12.8304781476391,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21.5,6.23924648997188,3.31293583055937,3.02848631386919,-1.60022379366245,12.8398018141264,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
21.75,6.26910713752949,3.31831850165722,3.04455684037745,-1.58459318608901,12.849193832131,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22,6.2981457848,3.32358872625,3.060376356592,-1.56913321519994,12.858652296545,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22.25,6.32637235152949,3.32874886698535,3.07595427143745,-1.55384290973588,12.8681752975933,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22.5,6.35379670117188,3.33380126410937,3.09129991511719,-1.53872129843744,12.8777609208338,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
22.75,6.38042864088887,3.3387482354666,3.10642253911339,-1.52376741004525,12.8874072471572,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23,6.40627792155,3.3435920765,3.121331316187,-1.50898027329993,12.897112352787,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23.25,6.43135423773262,3.34833506025097,3.13603534037776,-1.49435891694212,12.9068743092797,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23.5,6.45566722772188,3.35297943735937,3.15054362700419,-1.47990236971243,12.9166911835248,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
23.75,6.47922647351074,3.35752743606347,3.16486511266358,-1.46560966035149,12.9265610377444,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24,6.5020415008,3.3619812622,3.179008655232,-1.45147981759992,12.9364819294936,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24.25,6.52412177899824,3.3663430992041,3.19298303386433,-1.43751187019835,12.9464519116604,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24.5,6.54547672122187,3.37061510810937,3.20679694899419,-1.42370484688741,12.9564690324658,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
24.75,6.56611568429512,3.37479942754785,3.22045902233401,-1.41005777640772,12.9665313354634,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25,6.58604796875,3.37889817375,3.233977796875,-1.3965696874999,12.97663685954,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25.25,6.60528281882637,3.38291344054472,3.24736173688714,-1.38323960890459,12.986783638915,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25.5,6.62382942247187,3.38684729935937,3.26061922791919,-1.3700665693624,12.9969697031408,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
25.75,6.64169691134199,3.39070179921972,3.2737585767987,-1.35704959761396,13.0071930771027,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26,6.6588943608,3.39447896675,3.286788011632,-1.34418772239989,13.017451781019,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26.25,6.67543078991699,3.39818080617285,3.2997156818042,-1.33147997246082,13.0277438304406,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26.5,6.69131516147188,3.40180929930937,3.31254965797919,-1.31892537653738,13.0380672362514,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
26.75,6.70655638195137,3.4053664055791,3.32529793209964,-1.30652296337019,13.0484200046683,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27,6.72116330155,3.408854062,3.337968417387,-1.29427176169987,13.058800137241,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27.25,6.73514471417012,3.41227418318847,3.35056894834151,-1.28217080026705,13.069205630852,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27.5,6.74850935742188,3.41562866135937,3.36310728074219,-1.27021910781236,13.0796344777168,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
27.75,6.76126591262324,3.41891936632597,3.37559109164683,-1.25841571307642,13.0900846653837,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28,6.7734230048,3.4221481455,3.388027979392,-1.24675964479985,13.100554176734,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28.25,6.78498920268574,3.4253168238916,3.40042546359308,-1.23524993172328,13.1110409899817,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28.5,6.79597301872187,3.42842720410937,3.41279098514419,-1.22388560258734,13.1215430786738,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
28.75,6.80638290905762,3.43148106636035,3.42513190621826,-1.21266568613265,13.1320584116902,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
29,6.81622727355,3.43448016845,3.437455510267,-1.20158921109983,13.1425849532436,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
