FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-4,3,-0.2,0,0,0,0,6.84795,0.69452,-0.0300142,-0.223524
1,-4,3,-0.2,0,0,0,0,6.8543204759625,0.69934781975,-0.03019114864225,-0.2254194075
2,-3.5,3,-0.2,0,0,0,0,6.8635959389,0.704126979,-0.030329667638,-0.227314815
3,-3,3,-0.2,0,0,0,0,6.8756987740875,0.70885747775,-0.03042946684075,-0.2292102225
4,-2.3,3,-0.2,0,0,0,0,6.8905522104,0.713539316,-0.030490256104,-0.23110563
5,-2.3,3,-0.2,0,0,0,0,6.9080803203125,0.71817249375,-0.03051174528125,-0.2330010375
6,-2.2,3,-0.15,0,0,0,0,6.9282080199,0.722757011,-0.030493644226,-0.234896445
7,-2,3,-0.1,0,0,0,0,6.9508610688375,0.72729286775,-0.03043566279175,-0.2367918525
8,-2,3,0,0,0,0,0,6.9759660704,0.731780064,-0.030337510832,-0.23868726
9,-1.5,3,0.19,0,0,0,0,7.0034504714625,0.73621859975,-0.03019889820025,-0.2405826675
10,-1.5,3,0.19,0,0,0,0,7.0332425625,0.740608475,-0.03001953475,-0.242478075
11,-1.1,3,0.2,0,0,0,0,7.0652714775875,0.74494968975,-0.02979913033475,-0.2443734825
12,-1,3,0.25,0,0,0,0,7.0994671944,0.749242244,-0.029537394808,-0.24626889
13,-1,3,0.28,0,0,0,0,7.1357605342125,0.75348613775,-0.02923403802325,-0.2481642975
14,-0.6,3,0.3,0,0,0,0,7.1740831619,0.757681371,-0.028888769834,-0.250059705
15,-0.2,3,0.38,0,0,0,0,7.2143675859375,0.76182794375,-0.02850130009375,-0.2519551125
16,-0.1,3,0.38,0,0,0,0,7.2565471584,0.765925856,-0.028071338656,-0.25385052
17,0,3,0.38,0,0,0,0,7.3005560749625,0.76997510775,-0.02759859537425,-0.2557459275
18,0,3,0.38,0,0,0,0,7.3463293749,0.773975699,-0.027082780102,-0.257641335
19,0.05,3,0.38,0,0,0,0,7.3938029410875,0.77792762975,-0.02652360269275,-0.2595367425
20,0.1,3,0.44,0,0,0,0,7.4429135,0.7818309,-0.025920773,-0.26143215
21,0.15,3,0.5,0,0,0,0,7.4935986217125,0.78568550975,-0.02527400087725,-0.2633275575
22,0.2,3,0.56,0,0,0,0,7.5457967199,0.789491459,-0.024582996178,-0.265222965
23,0.25,3,0.62,0,0,0,0,7.5994470518375,0.79324874775,-0.02384746875575,-0.2671183725
24,0.3,3.5,0.68,0,0,0,0,7.6544897184,0.796957376,-0.023067128464,-0.26901378
25,0.35,3.5,0.74,0,0,0,0,7.7108656640625,0.80061734375,-0.02224168515625,-0.2709091875
26,0.4,3.5,0.8,0,0,0,0,7.7685166769,0.804228651,-0.021370848686,-0.272804595
27,0.45,3.5,0.86,0,0,0,0,7.8273853885875,0.80779129775,-0.02045432890675,-0.2747000025
28,0.5,4,0.92,0,0,0,0,7.8874152744,0.811305284,-0.019491835672,-0.27659541
29,0.55,4,0.98,0,0,0,0,7.9485506532125,0.81477060975,-0.01848307883525,-0.2784908175
30,0.6,4,1.04,0,0,0,0,8.0107366875,0.818187275,-0.01742776825,-0.280386225
31,0.65,4,1.1,0,0,0,0,8.0739193833375,0.82155527975,-0.01632561376975,-0.2822816325
32,0.7,4,1.16,0,0,0,0,8.1380455904,0.824874624,-0.015176325248,-0.28417704
33,0.75,4,1.22,0,0,0,0,8.2030630019625,0.82814530775,-0.01397961253825,-0.2860724475
34,0.8,4,1.28,0,0,0,0,8.2689201549,0.831367331,-0.012735185494,-0.287967855
35,0.85,4,1.34,0,0,0,0,8.3355664296875,0.83454069375,-0.01144275396875,-0.2898632625
36,0.9,4,1.4,0,0,0,0,8.4029520504,0.837665396,-0.010102027816,-0.29175867
37,0.95,4,1.46,0,0,0,0,8.4710280847125,0.84074143775,-0.00871271688925001,-0.2936540775
38,1,4,1.52,0,0,0,0,8.5397464439,0.843768819,-0.007274531042,-0.295549485
39,0.9,4,1.58,0,0,0,0,8.6090598828375,0.84674753975,-0.00578718012775001,-0.2974448925
40,0.85,4,1.64,0,0,0,0,8.678922,0.8496776,-0.004250374,-0.2993403
41,0.8,4,1.7,0,0,0,0,8.7492872374625,0.85255899975,-0.00266382251225,-0.3012357075
42,0.7,4,1.76,0,0,0,0,8.8201108809,0.855391739,-0.001027235518,-0.303131115
43,0.5,4,1.82,0,0,0,0,8.8913490595875,0.85817581775,0.000659677129249997,-0.3050265225
44,0.5,4,1.88,0,0,0,0,8.9629587464,0.860911236,0.00239720557599999,-0.30692193
45,0.5,4,1.94,0,0,0,0,9.0348977578125,0.86359799375,0.00418563996874999,-0.3088173375
46,0.5,4,2,0,0,0,0,9.1071247539,0.866236091,0.006025270454,-0.310712745
47,0.5,4,2.06,0,0,0,0,9.1795992383375,0.86882552775,0.00791638717825,-0.3126081525
48,0.5,4,2.12,0,0,0,0,9.2522815584,0.871366304,0.00985928028799999,-0.31450356
49,0.5,4,2.18,0,0,0,0,9.3251329049625,0.87385841975,0.01185423992975,-0.3163989675
50,0.5,4,2.24,0,0,0,0,9.3981153125,0.876301875,0.01390155625,-0.318294375
51,0.5,4,2.3,0,0,0,0,9.4711916590875,0.87869666975,0.01600151939525,-0.3201897825
52,0.5,4,2.36,0,0,0,0,9.5443256664,0.881042804,0.018154419512,-0.32208519
53,0.5,4,2.42,0,0,0,0,9.6174818997125,0.88334027775,0.02036054674675,-0.3239805975
54,0.5,4,2.48,0,0,0,0,9.6906257679,0.885589091,0.022620191246,-0.325876005
55,0.5,4,2.54,0,0,0,0,9.7637235234375,0.88778924375,0.02493364315625,-0.3277714125
56,0.5,4,2.6,0,0,0,0,9.8367422624,0.889940736,0.027301192624,-0.32966682
57,0.5,4,2.66,0,0,0,0,9.9096499244625,0.89204356775,0.02972312979575,-0.3315622275
58,0.5,4,2.72,0,0,0,0,9.9824152929,0.894097739,0.032199744818,-0.333457635
59,0.5,4,2.78,0,0,0,0,10.0550079945875,0.89610324975,0.03473132783725,-0.3353530425
60,0.5,4,2.84,0,0,0,0,10.1273985,0.8980601,0.037318169,-0.33724845
61,0.5,4,2.9,0,0,0,0,10.1995581232125,0.89996828975,0.03996055845275,-0.3391438575
62,0.5,4,2.96,0,0,0,0,10.2714590219,0.901827819,0.042658786342,-0.341039265
63,0.5,4,3.02,0,0,0,0,10.3430741973375,0.90363868775,0.04541314281425,-0.3429346725
64,0.5,4,3.08,0,0,0,0,10.4143774944,0.905400896,0.048223918016,-0.34483008
65,0.5,4,3.14,0,0,0,0,10.4853436015625,0.90711444375,0.05109140209375,-0.3467254875
66,0.5,4,3.2,0,0,0,0,10.5559480509,0.908779331,0.054015885194,-0.348620895
67,0.5,4,3.26,0,0,0,0,10.6261672180875,0.91039555775,0.05699765746325,-0.3505163025
68,0.5,4,3.32,0,0,0,0,10.6959783224,0.911963124,0.060037009048,-0.35241171
69,0.5,4,3.38,0,0,0,0,10.7653594267125,0.91348202975,0.06313423009475,-0.3543071175
70,0.5,4,3.44,0,0,0,0,10.8342894375,0.914952275,0.06628961075,-0.356202525
71,0.5,4,3.5,0,0,0,0,10.9027481048375,0.91637385975,0.06950344116025,-0.3580979325
72,0.5,4,3.56,0,0,0,0,10.9707160224,0.917746784,0.072776011472,-0.35999334
73,0.5,4,3.62,0,0,0,0,11.0381746274625,0.91907104775,0.07610761183175,-0.3618887475
74,0.5,4,3.68,0,0,0,0,11.1051062009,0.920346651,0.079498532386,-0.363784155
75,0.5,4,3.74,0,0,0,0,11.1714938671875,0.92157359375,0.08294906328125,-0.3656795625
