FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.664425,3.34156,-0.517314,-3.68939,29.0704,-35.8588,-76.2147,1369.59,13.8904,-0.600284,-4.47048
5,1.939738309,3.907060019,0.8732555669,-3.057797238,29.12049544,-57.78494494,-95.41007015,1406.648513,14.8121695,-0.600390695,-4.8495615
10,3.828109589,4.3209754,1.83848407,-2.5204889,29.07021942,-69.79098386,-112.8148748,1488.5827,15.636618,-0.51841546,-5.228643
15,5.148474057,4.615020944,2.489854667,-2.069694913,29.07399953,-75.90882559,-124.4975315,1602.147338,16.3637455,-0.348555365,-5.6077245
20,6.023661048,4.8173272,2.92625512,-1.6976452,29.18186155,-78.68766304,-128.2951736,1735.7844,16.993552,-0.08500748,-5.986806
25,6.554443848,4.952440469,3.233977797,-1.396569688,29.38064846,-79.62072676,-123.5301688,1879.623063,17.5260375,0.278031125,-6.3658875
30,6.822439527,5.0413228,3.48671967,-1.1586983,29.62703612,-79.50332194,-110.7266364,2025.4797,17.961202,0.74636338,-6.744969
35,6.893008776,5.101351994,3.745582317,-0.9762609625,29.87234574,-78.72214883,-91.32696605,2166.857888,18.2990455,1.325792215,-7.1240505
40,6.818155736,5.1463216,4.05907192,-0.8414876,30.07915293,-77.47590656,-67.4083352,2298.9484,18.539568,2.02212056,-7.503132
45,6.639427836,5.186440919,4.463099267,-0.7466081375,30.22969356,-75.92718041,-41.39922735,2418.629213,18.6827695,2.841151345,-7.8822135
50,6.390815625,5.228335,4.98097975,-0.6838525,30.32606625,-74.2856125,-15.79595,2524.4655,18.72865,3.7886875,-8.261295
55,6.101652604,5.275044644,5.623433367,-0.6454506125,30.38223163,-72.8223559,7.12084735,2616.709638,18.6772095,4.870531955,-8.6403765
60,5.799515064,5.3260264,6.38858472,-0.6236324,30.40780821,-71.81581216,25.5696552,2697.3012,18.528448,6.09248764,-9.019458
65,5.513121915,5.377152569,7.261963017,-0.6106277875,30.38366505,-71.42865229,38.55158605,2769.866963,18.2823655,7.460357485,-9.3985395
70,5.275234523,5.4207112,8.21650207,-0.5986667,30.22931108,-71.51612114,46.1338564,2839.7209,17.938962,8.97994442,-9.777621
75,5.125556543,5.445406094,9.212540297,-0.5799790625,29.76208111,-71.3656252,49.73326875,2913.864188,17.4982375,10.65705138,-10.1567025
