FE Rotation (°);IE Rotation (°);VV Rotation (°);AP Translation (mm);ML Translation (mm);SI Translation (mm);Fx (N);Fy (N);Fz (N);Mx (Nm);My (Nm);Mz (Nm)
3.5;1,217605151;3.75489620069063;16.75172;-3.2370216632125;29.0526118577486;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
3.75;1,336367997;3.78124619396973;16.8156929458131;-3.20655274472656;29.0496571670151;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4;1,453446685;3.8071967488;16.8785305593978;-3.1763243936;29.0469157036544;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.25;1,568855188;3.83275215436348;16.9402479176064;-3.14633563857344;29.0443859592635;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.5;1,682607422;3.85791667744063;17.00086001857;-3.1165855083875;29.0420664207726;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.75;1,794717247;3.88269456241035;17.0603817816986;-3.08707303178281;29.0399555704445;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5;1,905198469;3.90709003125;17.1188280476808;-3.0577972375;29.038051885875;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.25;2,014064833;3.93110728353535;17.1762135784842;-3.02875715427969;29.0363538399928;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.5;2,121330032;3.95475049644063;17.232553057355;-2.9999518108625;29.0348599010596;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.75;2,2270077;3.97802382473848;17.2878610888183;-2.97138023598906;29.0335685326697;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6;2,331111417;4.0009314008;17.3421521986778;-2.9430414584;29.0324781937504;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6.25;2,433654704;4.02347733459473;17.3954408340163;-2.91493450683594;29.031587338562;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6.5;2,534651028;4.04566571369063;17.447741363195;-2.8870584100375;29.0308944166976;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6.75;2,634113799;4.0675006032541;17.4990680758542;-2.85941219674531;29.0303978730831;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7;2,73205637;4.08898604605;17.5494351829128;-2.8319948957;29.0300961479774;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7.25;2,828492038;4.1101260624416;17.5988568165686;-2.80480553564219;29.0299876769722;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7.5;2,923434045;4.13092465039063;17.647347030298;-2.7778431453125;29.0300708909922;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7.75;3,016895575;4.15138578545723;17.6949197988564;-2.75110675345156;29.0303442162948;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8;3,108889757;4.1715134208;17.7415890182778;-2.7245953888;29.0308060744704;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8.25;3,199429662;4.19131148717598;17.7873685058751;-2.69830808009844;29.0314548824423;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8.5;3,288528307;4.21078389294063;17.83227200024;-2.6722438560875;29.0322890524666;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8.75;3,376198651;4.22993452404785;17.8763131612428;-2.64640174550781;29.0333069921323;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
9;3,462453598;4.24876724405;17.9195055700328;-2.6207807771;29.0345071043614;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
9.25;3,547305993;4.26728589409785;17.961862729038;-2.59537997960469;29.0358877874086;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
9.5;3,630768628;4.28549429294063;18.003398061965;-2.5701983817625;29.0374474348616;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
