FE Rotation (°);IE Rotation (°);VV Rotation (°);AP Translation (mm);ML Translation (mm);SI Translation (mm);Fx (N);Fy (N);Fz (N);Mx (Nm);My (Nm);Mz (Nm)
3.5;4.94033;3.75489620069063;0.506147519194188;-3.2370216632125;29.0526118577486;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
3.75;5.05909284572637;3.78124619396973;0.570120465007324;-3.20655274472656;29.0496571670151;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4;5.17617153357813;3.8071967488;0.632958078592;-3.1763243936;29.0469157036544;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.25;5.29158003633887;3.83275215436348;0.694675436800574;-3.14633563857344;29.0443859592635;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.5;5.40533227050001;3.85791667744063;0.755287537764188;-3.1165855083875;29.0420664207726;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.75;5.51744209626075;3.88269456241035;0.814809300892762;-3.08707303178281;29.0399555704445;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5;5.62792331752813;3.90709003125;0.873255566875;-3.0577972375;29.038051885875;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.25;5.736789681917;3.93110728353535;0.930641097678387;-3.02875715427969;29.0363538399928;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.5;5.84405488075001;3.95475049644063;0.986980576549188;-2.9999518108625;29.0348599010596;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.75;5.94973254905762;3.97802382473848;1.04228860801245;-2.97138023598906;29.0335685326697;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6;6.05383626557813;4.0009314008;1.096579717872;-2.9430414584;29.0324781937504;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6.25;6.15637955275762;4.02347733459473;1.14986835321045;-2.91493450683594;29.031587338562;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
