FE Rotation (°);IE Rotation (°);VV Rotation (°);AP Translation (mm);ML Translation (mm);SI Translation (mm);Fx (N);Fy (N);Fz (N);Mx (Nm);My (Nm);Mz (Nm)
3.5;1,217605151;3.75489620069063;0,506147519;-2.15338;29.0526118577486;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
3.75;1,336367997;3.78124619396973;0,570120465;-2.12291108151406;29.0496571670151;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4;1,453446685;3.8071967488;0,632958079;-2.0926827303875;29.0469157036544;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.25;1,568855188;3.83275215436348;0,694675437;-2.06269397536094;29.0443859592635;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.5;1,682607422;3.85791667744063;0,755287538;-2.032943845175;29.0420664207726;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
4.75;1,794717247;3.88269456241035;0,814809301;-2.00343136857031;29.0399555704445;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5;1,905198469;3.90709003125;0,873255567;-1.9741555742875;29.038051885875;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.25;2,014064833;3.93110728353535;0,930641098;-1.94511549106719;29.0363538399928;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.5;2,121330032;3.95475049644063;0,986980577;-1.91631014765;29.0348599010596;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
5.75;2,2270077;3.97802382473848;1,042288608;-1.88773857277656;29.0335685326697;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6;2,331111417;4.0009314008;1,096579718;-1.8593997951875;29.0324781937504;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6.25;2,433654704;4.02347733459473;1,149868353;-1.83129284362344;29.031587338562;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6.5;2,534651028;4.04566571369063;1,202168882;-1.803416746825;29.0308944166976;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
6.75;2,634113799;4.0675006032541;1,253495595;-1.77577053353281;29.0303978730831;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7;2,73205637;4.08898604605;1,303862702;-1.7483532324875;29.0300961479774;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7.25;2,828492038;4.1101260624416;1,353284336;-1.72116387242969;29.0299876769722;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7.5;2,923434045;4.13092465039063;1,401774549;-1.6942014821;29.0300708909922;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
7.75;3,016895575;4.15138578545723;1,449347318;-1.66746509023906;29.0303442162948;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8;3,108889757;4.1715134208;1,496016537;-1.6409537255875;29.0308060744704;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8.25;3,199429662;4.19131148717598;1,541796025;-1.61466641688594;29.0314548824423;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8.5;3,288528307;4.21078389294063;1,586699519;-1.588602192875;29.0322890524666;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
8.75;3,376198651;4.22993452404785;1,63074068;-1.56276008229531;29.0333069921323;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
9;3,462453598;4.24876724405;1,673933089;-1.5371391138875;29.0345071043614;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
9.25;3,547305993;4.26728589409785;1,716290248;-1.51173831639219;29.0358877874086;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
9.5;3,630768628;4.28549429294063;1,757825581;-1.48655671855;29.0374474348616;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
9.75;3,712854238;4.30339623692598;1,798552433;-1.46159334910156;29.0391844356409;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
10;3,7935755;4.3209955;1,83848407;-1.4368472367875;29.041097174;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
10.25;3,872945036;4.33829583370723;1,87763368;-1.41231741034844;29.0431840295252;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
10.5;3,950975411;4.35530096719063;1,916014371;-1.388002898525;29.0454433771356;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
10.75;4,027679136;4.3720146071916;1,953639174;-1.36390273005781;29.0478735870833;-1.79294;-3.810735;68.4795;0.69452;-0.0300142;-0.223524
