FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
15,5.14847405709375,4.61502094375,15.1295,3.66018,15.74716,29.0707,-2.18959928839804,-4.09239650257448,68.756987740875,0.70885747775,-0.03042946684075
20,6.023661048,4.8173272,15.565900453125,4.0322297125,15.8550220219688,29.0708,-2.30768769584595,-4.1887012600768,68.905522104,0.713539316,-0.030490256104
25,6.55444384765625,4.95244046875,15.87362313,4.333305225,16.053808927,29.0709,-2.41924384399243,-4.28568199632813,69.080803203125,0.71817249375,-0.03051174528125
30,6.822439527,5.0413228,16.126365003125,4.5711766125,16.3001965919688,29.071,-2.5245703828163,-4.3830357737832,69.282080199,0.722757011,-0.030493644226
35,6.89300877571875,5.10135199375,16.38522765,4.75361395,16.54550620875,29.0711,-2.62395876053837,-4.48047062459178,69.508610688375,0.72729286775,-0.03043566279175
40,6.818155736,5.1463216,16.698717253125,4.8883873125,16.7523133979688,29.0712,-2.71768950399693,-4.5777054088576,69.759660704,0.731780064,-0.030337510832
45,6.63942783628125,5.18644091875,17.1027446,4.983266775,16.90285402525,29.0713,-2.80603249558729,-4.67446967289743,70.034504714625,0.73621859975,-0.03019889820025
50,6.390815625,5.228335,17.620625083125,5.0460224125,16.9992267199688,29.0714,-2.88924724676563,-4.7705035075,70.332425625,0.740608475,-0.03001953475
55,6.10165260434375,5.27504464375,18.2630787,5.0844243,17.0553920965001,29.0715,-2.9675831681169,-4.86555740618508,70.652714775875,0.74494968975,-0.02979913033475
60,5.799515064,5.3260264,19.028230053125,5.1062425125,17.0809686779688,29.0716,-3.04127983598701,-4.9593921234624,70.994671944,0.749242244,-0.029537394808
65,5.51312191490623,5.37715256875,19.90160835,5.119247125,17.0568255225,29.0717,-3.11056725567906,-5.05177853309072,71.357605342125,0.75348613775,-0.02923403802325
70,5.275234523,5.4207112,20.856147403125,5.1312082125,16.9024715519688,29.0718,-3.17566612121386,-5.1424974863368,71.740831619,0.757681371,-0.028888769834
75,5.12555654296874,5.44540609375,21.85218563,5.14989585,16.43524158325,29.0719,-3.23678807165454,-5.23133967023437,72.143675859375,0.76182794375,-0.02850130009375
