FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
3.5,2.1154,-4.94033,16.816843433,-2.122669543,13.3326118577486,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.75,2.23416284572637,-4.9666799932791,16.880816379,-2.092200625,13.3296571670151,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4,2.35124153357813,-4.99263054810937,16.943653993,-2.061972274,13.3269157036544,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.25,2.46665003633887,-5.01818595367285,17.005371351,-2.031983519,13.3243859592635,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.5,2.58040227050001,-5.04335047675,17.065983452,-2.002233388,13.3220664207726,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.75,2.69251209626075,-5.06812836171972,17.125505215,-1.972720912,13.3199555704445,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5,2.80299331752813,-5.09252383055937,17.183951481,-1.943445118,13.318051885875,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.25,2.911859681917,-5.11654108284472,17.241337012,-1.914405034,13.3163538399928,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.5,3.01912488075001,-5.14018429575,17.297676491,-1.885599691,13.3148599010596,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.75,3.12480254905762,-5.16345762404785,17.352984522,-1.857028116,13.3135685326697,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6,3.22890626557813,-5.18636520010937,17.407275632,-1.828689338,13.3124781937504,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.25,3.33144955275762,-5.2089111339041,17.460564267,-1.800582387,13.311587338562,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.5,3.43244587675001,-5.231099513,17.512864796,-1.77270629,13.3108944166976,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.75,3.531908647417,-5.25293440256347,17.564191509,-1.745060077,13.3103978730831,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7,3.62985121832813,-5.27441984535937,17.614558616,-1.717642776,13.3100961479774,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.25,3.72628688676075,-5.29555986175097,17.66398025,-1.690453416,13.3099876769722,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.5,3.82122889370001,-5.3163584497,17.712470463,-1.663491025,13.3100708909922,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.75,3.91469042383887,-5.3368195847666,17.760043232,-1.636754633,13.3103442162948,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8,4.00668460557813,-5.35694722010937,17.806712451,-1.610243269,13.3108060744704,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.25,4.09722451102637,-5.37674528648535,17.852491939,-1.58395596,13.3114548824423,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.5,4.18632315600001,-5.39621769225,17.897395433,-1.557891736,13.3122890524666,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.75,4.27399350002325,-5.41536832335722,17.941436594,-1.532049626,13.3133069921323,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9,4.36024844632813,-5.43420104335937,17.984629003,-1.506428657,13.3145071043614,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.25,4.4451008418545,-5.45271969340722,18.026986162,-1.48102786,13.3158877874086,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.5,4.52856347725001,-5.47092809225,18.068521495,-1.455846262,13.3174474348616,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.75,4.61064908687012,-5.48883003623535,18.109248347,-1.430882892,13.3191844356409,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10,4.69137034877813,-5.50642929930937,18.149179984,-1.40613678,13.321097174,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.25,4.77073988474512,-5.5237296330166,18.188329594,-1.381606954,13.3231840295252,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.5,4.84877026025001,-5.5407347665,18.226710285,-1.357292442,13.3254433771356,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.75,4.9254739844795,-5.55744840650097,18.264335088,-1.333192273,13.3278735870833,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11,5.00086351032813,-5.57387423735937,18.301216954,-1.309305477,13.3304730249534,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.25,5.07495123439825,-5.59001592101347,18.337368755,-1.285631081,13.3332400516636,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.5,5.14774949700001,-5.605877097,18.372803287,-1.262168115,13.3361730234646,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.75,5.21927058215137,-5.6214613824541,18.407533263,-1.238915608,13.33927029194,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12,5.28952671757813,-5.63677237210937,18.44157132,-1.215872587,13.3425302040064,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.25,5.35853007471387,-5.65181363829785,18.474930016,-1.193038082,13.345951101913,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.5,5.42629276870001,-5.66658873095,18.507621831,-1.170411122,13.3495313232422,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.75,5.49282685838575,-5.68110117759472,18.539659164,-1.147990735,13.353269200909,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13,5.55814434632813,-5.69535448335937,18.571054337,-1.12577595,13.3571630631614,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.25,5.622257178792,-5.70935213096972,18.601819593,-1.103765796,13.3612112335803,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.5,5.68517724575,-5.72309758075,18.631967097,-1.081959301,13.3654120310796,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.75,5.74691638088262,-5.73659427062285,18.661508933,-1.060355495,13.3697637699058,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14,5.80748636157813,-5.74984561610937,18.690457108,-1.038953406,13.3742647596384,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.25,5.86689890893262,-5.7628550103291,18.71882355,-1.017752062,13.3789133051899,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
