FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
0,-0.62987,-3.3416,-0.517314,-2.533940093125,11,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.25,-0.486030278126758,-3.37400504055098,-0.435819249608176,-2.56762602,11.145,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.5,-0.344076243778125,-3.40594824194063,-0.355679173105813,-2.601058751875,11.29,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
0.75,-0.203993136079883,-3.43743420697285,-0.276877591543488,-2.63423926,11.435,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1,-0.06576625045,-3.46846751605,-0.199398404693,-2.667168515625,11.58,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.25,0.0706190614013673,-3.49905272717285,-0.123225591047363,-2.69984749,11.725,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.5,0.205177391471875,-3.52919437594063,-0.0483432078208125,-2.732277154375,11.87,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
1.75,0.337923275466992,-3.55889697555098,0.0252646090511993,-2.76445848,12.015,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2,0.4688711928,-3.5881650168,0.0976136449120001,-2.796392438125,12.16,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.25,0.598035566591992,-3.61700296808223,0.168719606383699,-2.82808,12.305,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.5,0.725430763671875,-3.64541527539063,0.238598121367188,-2.859522136875,12.45,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
2.75,0.851071094576367,-3.6734063623166,0.307264739042137,-2.89071982,12.595,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3,0.97497081355,-3.70098063005,0.374734929867,-2.921674020625,12.74,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.25,1.09714411854512,-3.7281424573791,0.441024085579012,-2.95238571,12.885,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.5,1.21760515122187,-3.75489620069063,0.506147519194188,-2.982855859375,13.03,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
3.75,1.33636799694824,-3.78124619396973,0.570120465007324,-3.01308544,13.175,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4,1.4534466848,-3.8071967488,0.632958078592,-3.043075423125,13.32,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.25,1.56885518756074,-3.83275215436348,0.694675436800574,-3.07282678,13.465,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.5,1.68260742172188,-3.85791667744063,0.755287537764188,-3.102340481875,13.61,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
4.75,1.79471724748262,-3.88269456241035,0.814809300892762,-3.1316175,13.755,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5,1.90519846875,-3.90709003125,0.873255566875,-3.160658805625,13.9,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.25,2.01406483313887,-3.93110728353535,0.930641097678387,-3.18946537,14.045,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.5,2.12133003197188,-3.95475049644063,0.986980576549188,-3.218038164375,14.19,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
5.75,2.22700770027949,-3.97802382473848,1.04228860801245,-3.24637816,14.335,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6,2.3311114168,-4.0009314008,1.096579717872,-3.274486328125,14.48,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.25,2.43365470397949,-4.02347733459473,1.14986835321045,-3.30236364,14.625,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.5,2.53465102797188,-4.04566571369063,1.20216888238919,-3.330011066875,14.77,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
6.75,2.63411379863887,-4.0675006032541,1.25349559504839,-3.35742958,14.915,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7,2.73205636955,-4.08898604605,1.303862702107,-3.384620150625,15.06,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.25,2.82849203798262,-4.1101260624416,1.35328433576276,-3.41158375,15.149,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.5,2.92343404492188,-4.13092465039063,1.40177454949219,-3.438321349375,15.238,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
7.75,3.01689557506074,-4.15138578545723,1.44934731805057,-3.46483392,15.327,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8,3.1088897568,-4.1715134208,1.496016537472,-3.491122433125,15.416,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.25,3.19942966224824,-4.19131148717598,1.54179602506932,-3.51718786,15.505,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.5,3.28852830722188,-4.21078389294063,1.58669951943419,-3.543031171875,15.594,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
8.75,3.37619865124512,-4.22993452404785,1.63074068043701,-3.56865334,15.683,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9,3.46245359755,-4.24876724405,1.673933089227,-3.594055335625,15.772,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.25,3.54730599307637,-4.26728589409785,1.71629024823214,-3.61923813,15.861,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.5,3.63076862847188,-4.28549429294063,1.75782558115919,-3.644202694375,15.95,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
9.75,3.71285423809199,-4.30339623692598,1.7985524329937,-3.66895,16.039,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10,3.7935755,-4.3209955,1.83848407,-3.693481018125,16.128,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.25,3.87294503596699,-4.33829583370723,1.8776336797212,-3.71779672,16.217,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.5,3.95097541147188,-4.35530096719063,1.91601437097919,-3.741898076875,16.306,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
10.75,4.02767913570137,-4.3720146071916,1.95363917387464,-3.76578606,16.395,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11,4.10306866155,-4.38844043805,1.990521039787,-3.789461640625,16.484,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.25,4.17715638562012,-4.4045821217041,2.02667284137451,-3.81292579,16.573,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.5,4.24995464822188,-4.42044329769063,2.06210737257419,-3.836179479375,16.662,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
11.75,4.32147573337324,-4.43602758314473,2.09683734860182,-3.85922368,16.751,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12,4.3917318688,-4.4513385728,2.130875405952,-3.882059363125,16.84,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.25,4.46073522593574,-4.46637983898848,2.16423410239808,-3.9046875,16.929,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.5,4.52849791992188,-4.48115493164063,2.19692591699219,-3.927109061875,17.018,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
12.75,4.59503200960762,-4.49566737828535,2.22896325006526,-3.94932502,17.107,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13,4.66034949755,-4.50992068405,2.260358423227,-3.971336345625,17.196,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.25,4.72446233001387,-4.52391833166035,2.29112367936589,-3.99314401,17.285,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.5,4.78738239697187,-4.53766378144063,2.32127118264919,-4.014748984375,17.374,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
13.75,4.84912153210449,-4.55116047131348,2.35081301852295,-4.03615224,17.463,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14,4.9096915128,-4.5644118168,2.379761193712,-4.057354748125,17.552,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.25,4.96910406015449,-4.57742121101973,2.40812763621995,-4.07835748,17.641,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.5,5.02737083897188,-4.59019202469063,2.43592419532919,-4.099161406875,17.73,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
14.75,5.08450345776387,-4.6027276061291,2.46316264160089,-4.1197675,17.819,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15,5.14051346875,-4.61503128125,2.489854666875,-4.140176730625,17.908,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.25,5.19541236785762,-4.6271063535666,2.51601188427026,-4.16039007,17.997,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.5,5.24921159472188,-4.63895610419063,2.54164582818419,-4.180408489375,18.086,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
15.75,5.30192253268574,-4.65058379183223,2.56676795429307,-4.20023296,18.175,-1.79294,-3.810735,68.4795,0.69452,-0.0300142,-0.223524
