FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm),
15,5.14847405709375,2.58,1.238,18.503,-4.677,11.227,-2.18959928839804,-4.09239650257448,68.756987740875,0.70885747775,-0.03042946684075,-0.2292102225
20,6.023661048,3.45518699090625,1.44030625625,18.939400453125,-4.3049502875,11.3348620219688,-2.30768769584595,-4.1887012600768,68.905522104,0.713539316,-0.030490256104,-0.23110563
25,6.55444384765625,3.9859697905625,1.575419525,19.24712313,-4.003874775,11.533648927,-2.41924384399243,-4.28568199632813,69.080803203125,0.71817249375,-0.03051174528125,-0.2330010375
30,6.822439527,4.25396546990625,1.66430185625,19.499865003125,-3.7660033875,11.7800365919688,-2.5245703828163,-4.3830357737832,69.282080199,0.722757011,-0.030493644226,-0.234896445
35,6.89300877571875,4.324534718625,1.72433105,19.75872765,-3.58356605,12.02534620875,-2.62395876053837,-4.48047062459178,69.508610688375,0.72729286775,-0.03043566279175,-0.2367918525
40,6.818155736,4.24968167890625,1.76930065625,20.072217253125,-3.4487926875,12.2321533979688,-2.71768950399693,-4.5777054088576,69.759660704,0.731780064,-0.030337510832,-0.23868726
45,6.63942783628125,4.0709537791875,1.809419975,20.4762446,-3.353913225,12.38269402525,-2.80603249558729,-4.67446967289743,70.034504714625,0.73621859975,-0.03019889820025,-0.2405826675
50,6.390815625,3.82234156790625,1.85131405625,20.994125083125,-3.2911575875,12.4790667199688,-2.88924724676563,-4.7705035075,70.332425625,0.740608475,-0.03001953475,-0.242478075
55,6.10165260434375,3.53317854725,1.8980237,21.6365787,-3.2527557,12.5352320965001,-2.9675831681169,-4.86555740618508,70.652714775875,0.74494968975,-0.02979913033475,-0.2443734825
60,5.799515064,3.23104100690625,1.94900545625,22.401730053125,-3.2309374875,12.5608086779688,-3.04127983598701,-4.9593921234624,70.994671944,0.749242244,-0.029537394808,-0.24626889
65,5.51312191490623,2.94464785781248,2.000131625,23.27510835,-3.217932875,12.5366655225,-3.11056725567906,-5.05177853309072,71.357605342125,0.75348613775,-0.02923403802325,-0.2481642975
70,5.275234523,2.70676046590625,2.04369025625,24.229647403125,-3.2059717875,12.3823115519688,-3.17566612121386,-5.1424974863368,71.740831619,0.757681371,-0.028888769834,-0.250059705
75,5.12555654296874,2.55708248587499,2.06838515,25.22568563,-3.18728415,11.91508158325,-3.23678807165454,-5.23133967023437,72.143675859375,0.76182794375,-0.02850130009375,-0.2519551125
