FE Rotation (°),IE Rotation (°),VV Rotation (°),AP Translation (mm),ML Translation (mm),SI Translation (mm),Fx (N),Fy (N),Fz (N),Mx (Nm),My (Nm),Mz (Nm)
18.5,5.8014563472658,4.76473813302812,2.81252888983919,-1.8014542843375,29.1385129854299,-78.0993541405283,-128.049887133811,1694.2056169425,16.814828755,-0.174254337785,-5.87308155
19,5.87910650742611,4.78297525615,2.851849233547,-1.7661285641,29.1519747938947,-78.3152253603087,-128.218074060752,1707.94928878,16.87537638,-0.14549062084,-5.9109897
19.5,5.95314361437078,4.80049718120313,2.88973068227419,-1.7315281260125,29.1664345765946,-78.5109381879288,-128.299899446923,1721.8119765675,16.934950795,-0.115743602555,-5.94889785
20,6.023661048,4.8173272,2.92625512,-1.6976452,29.181861552,-78.68766304,-128.2951736,1735.7844,16.993552,-0.08500748,-5.986806
20.5,6.09075024359409,4.83348824592812,2.96150317116419,-1.6644720159875,29.1982217639836,-78.8464984032753,-128.203829837676,1749.8574474925,17.051179995,-0.0532764502450001,-6.02471415
21,6.15450072081189,4.84900289395,2.995554200667,-1.6320008039,29.215478375063,-78.9884741057951,-128.025921652848,1764.02217618,17.10783478,-0.0205447103600001,-6.0626223
21.5,6.21500011268907,4.86389336060313,3.02848631386919,-1.6002237936625,29.2335919514394,-79.1145545193156,-127.761619878789,1778.2698119175,17.163516355,0.0131935425849999,-6.10053045
22,6.27233419463648,4.878181504,3.060376356592,-1.5691332152,29.2525207398335,-79.2256416930215,-127.411209854336,1792.59174928,17.21822472,0.0479441115199999,-6.1384386
22.5,6.32658691343848,4.89188882382812,3.09129991511719,-1.5387212984375,29.2722209361177,-79.3225784185205,-126.975088589062,1806.9795515625,17.271959875,0.0837127993749998,-6.17634675
23,6.37784041625127,4.90503646135,3.121331316187,-1.5089802733,29.2926469457452,-79.4061512261236,-126.453761928464,1821.42495078,17.32472182,0.12050540908,-6.2142549
23.5,6.42617507960126,4.91764519940313,3.15054362700419,-1.4799023697125,29.3137516359758,-79.4770933124063,-125.847841719136,1835.9198476675,17.376510555,0.158327743565,-6.25216305
24,6.47166953838336,4.9297354624,3.179008655232,-1.4514798176,29.3354865798984,-79.5360873990554,-125.158042973952,1850.45631168,17.42732608,0.19718560576,-6.2900712
24.5,6.51440071485936,4.94132731632812,3.20679694899419,-1.4237048468875,29.3578022922498,-79.5837685229976,-124.385181037248,1865.0265809925,17.477168395,0.237084798595,-6.32797935
25,6.55444384765625,4.95244046875,3.233977796875,-1.3965696875,29.3806484570312,-79.6207267578125,-123.53016875,1879.6230625,17.5260375,0.278031125,-6.3658875
25.5,6.59187252076454,4.96309426880313,3.26061922791919,-1.3700665693625,29.4039741469204,-79.6475098664288,-122.594013615001,1894.2383318175,17.573933395,0.320030387905,-6.40379565
26,6.62675869253664,4.9733077072,3.286788011632,-1.3441877224,29.4277280344808,-79.6646258851034,-121.577814962048,1908.86513328,17.62085608,0.36308839024,-6.4417038
26.5,6.65917272468515,4.98309941622813,3.31254965797919,-1.3189253765375,29.451858595168,-79.6725456386849,-120.482761113114,1923.4963799425,17.666805555,0.407210934935,-6.47961195
27,6.68918341128123,4.99248766975,3.337968417387,-1.2942717617,29.476314302132,-79.6717051871596,-119.310126547536,1938.12515358,17.71178182,0.45240382492,-6.5175201
27.5,6.71685800775293,5.00149038320312,3.36310728074219,-1.2702191078125,29.5010438128169,-79.6625082034815,-118.061269067188,1952.7447046875,17.755784875,0.498672863125,-6.55542825
28,6.74226225988352,5.0101251136,3.388027979392,-1.2467596448,29.5259961473567,-79.6453282826855,-116.737626961664,1967.34845248,17.79881472,0.54602385248,-6.5933364
28.5,6.76546043280983,5.01840905952812,3.41279098514419,-1.2238856025875,29.5511208587682,-79.620511182284,-115.34071617346,1981.9299848925,17.840871355,0.594462595915,-6.63124455
29,6.78651534002061,5.02635906115,3.437455510267,-1.2015892111,29.5763681949406,-79.5883769939471,-113.872127463152,1996.48305858,17.88195478,0.64399489636,-6.6691527
29.5,6.80548837235481,5.03399160020312,3.46207950748919,-1.1798627002625,29.6016892524215,-79.549222246466,-112.333523574573,2011.0015989175,17.922064995,0.694626556745,-6.70706085
30,6.822439527,5.0413228,3.48671967,-1.1586983,29.627036122,-79.50332194,-110.7266364,2025.4797,17.961202,0.74636338,-6.744969
30.5,6.83742743649062,5.04836842542812,3.51143143144919,-1.1380882402375,29.6523620260861,-79.450931511607,-109.053264145326,2039.9116246425,17.999365795,0.799211169055,-6.78287715
31,6.85050939770639,5.05514388295,3.536268965947,-1.1180247509,29.6776214478871,-79.3922887320567,-107.315268495248,2054.29180438,18.03655638,0.85317572684,-6.8207853
31.5,6.8617414008706,5.06166422060313,3.56128518806419,-1.0985000619125,29.7027702523805,-79.3276155339288,-105.514571778439,2068.6148394675,18.072773755,0.908262856285,-6.85869345
32,6.87117815854848,5.067944128,3.586531752832,-1.0795064032,29.727765799084,-79.2571197709927,-103.653154132736,2082.87549888,18.10801792,0.96447836032,-6.8966016
32.5,6.87887313464551,5.07399793632812,3.61205905574219,-1.0610360046875,29.7525670466216,-79.1809969088721,-101.733050670312,2097.0687203125,18.142288875,1.021828041875,-6.93450975
33,6.88487857340577,5.07983961835,3.637916232747,-1.0430810963,29.7771346490866,-79.0994316469924,-99.756348642864,2111.18961018,18.17558662,1.08031770388,-6.9724179
33.5,6.88924552841029,5.08548278840312,3.66415116025919,-1.0256339079625,29.801431044202,-79.0125994718114,-97.7251846067855,2125.2334436175,18.207911155,1.139953149265,-7.01032605
34,6.89202389157536,5.0909407024,3.690810455152,-1.0086866696,29.8254205332763,-78.9206681413338,-95.6417415883519,2139.19566448,18.23926248,1.20074018096,-7.0482342
34.5,6.89326242215089,5.09622625782812,3.71793947475919,-0.9922316111375,29.8490693529572,-78.8237991009091,-93.5082462488985,2153.0718853425,18.269640595,1.262684601895,-7.08614235
35,6.89300877571875,5.10135199375,3.745582316875,-0.9762609625,29.8723457387812,-78.7221488303125,-91.32696605,2166.8578875,18.2990455,1.325792215,-7.1240505
35.5,6.89130953319107,5.10633009080312,3.77378181975419,-0.9607669536125,29.8952199805208,-78.6158701221098,-89.1002064186514,2180.5496209675,18.327477195,1.390068823205,-7.16195865
36,6.88821022980864,5.1111723712,3.802579562112,-0.9457418144,29.9176644693269,-78.505113291305,-86.8303079124479,2194.14320448,18.35493568,1.45552022944,-7.1998668
36.5,6.88375538413918,5.11589029872813,3.83201586312419,-0.9311777747875,29.9396537366695,-78.3900273162724,-84.5196433847644,2207.6349254925,18.381420955,1.522152236635,-7.23777495
37,6.87798852707573,5.12049497875,3.862129782427,-0.9170670647,29.9611644850746,-78.2707609109709,-82.170615149936,2221.02124018,18.40693302,1.58997064772,-7.2756831
37.5,6.87095223083496,5.12499715820312,3.89295912011719,-0.9034019140625,29.9821756106567,-78.1474635284425,-79.7856521484375,2234.2987734375,18.431471875,1.658981265625,-7.31359125
38,6.86268813795552,5.1294072256,3.924540416752,-0.8901745528,30.0026682174501,-78.0202862955944,-77.3672071120639,2247.46431888,18.45503752,1.72918989328,-7.3514994
38.5,6.85323699029636,5.13373521102813,3.95690895334919,-0.8773772108375,30.0226256235348,-77.8893828792634,-74.9177537291105,2260.5148388425,18.477629955,1.800602333615,-7.38940755
39,6.84263865803511,5.13799078615,3.990098751387,-0.8650021181,30.0420333589605,-77.7549102835655,-72.4397838095519,2273.44746438,18.49924918,1.87322438956,-7.4273157
39.5,6.83093216866635,5.14218326420312,4.02414257280419,-0.8530415045125,30.0608791554668,-77.6170295785269,-69.9358044502234,2286.2594952675,18.519895195,1.947061864045,-7.46522385
40,6.818155736,5.1463216,4.05907192,-0.8414876,30.079152928,-77.4759065600001,-67.4083352,2298.9484,18.539568,2.02212056,-7.503132
40.5,6.80434678915965,5.15041438992812,4.09491703583419,-0.830332634487501,30.0968467480269,-77.3317123408623,-64.8599052249765,2311.5118157925,18.558267595,2.098406280355,-7.54104015
41,6.78954200158089,5.15446987195,4.131706903627,-0.819568837900001,30.1139548086451,-77.1846238734984,-62.2930504736479,2323.94754858,18.57599398,2.17592482804,-7.5789483
41.5,6.77377732000963,5.15849592560313,4.16946924715919,-0.8091884401625,30.13047338149,-77.0348244035657,-59.7103108420894,2336.2535730175,18.592747155,2.254682005985,-7.61685645
42,6.75708799350048,5.162500072,4.208230530672,-0.7991836712,30.1464007654386,-76.8825038550439,-57.114227339136,2348.42803248,18.60852712,2.33468361712,-7.6547646
42.5,6.73950860241504,5.16648947382813,4.24801595886719,-0.7895467609375,30.1617372271099,-76.7278591465676,-54.5073392515624,2360.4692390625,18.623333875,2.415935464375,-7.69267275
43,6.72107308742027,5.17047093535,4.288849476907,-0.7802699393,30.1764849331621,-76.5710944390412,-51.8921813092639,2372.37567358,18.63716742,2.49844335068,-7.7305809
43.5,6.70181477848682,5.17445090240312,4.33075377041419,-0.7713454362125,30.1906478743866,-76.4124213145402,-49.2712808504354,2384.1459855675,18.650027755,2.582213078965,-7.76848905
44,6.68176642388736,5.1784354624,4.373750265472,-0.7627654816,30.2042317815982,-76.2520588864923,-46.6471549867519,2395.77899328,18.66191488,2.66725045216,-7.8063972
44.5,6.66096021919493,5.18243034432813,4.41785912862419,-0.7545223053875,30.2172440333229,-76.0902338411445,-44.0223077685484,2407.2736836925,18.672828795,2.753561273195,-7.84430535
45,6.63942783628125,5.18644091875,4.463099266875,-0.746608137500001,30.2296935552812,-75.9271804103127,-41.3992273499998,2418.6292125,18.6827695,2.841151345,-7.8822135
45.5,6.6172004523151,5.19047219780312,4.50948832768919,-0.7390152078625,30.2415907116696,-75.7631402754147,-38.7803831543014,2429.8449041175,18.691736995,2.930026470505,-7.92012165
46,6.59430877876064,5.1945288352,4.557042698992,-0.7317357464,30.2529471882369,-75.5983624027868,-36.1682230388478,2440.92025168,18.69973128,3.02019245264,-7.9580298
46.5,6.57078309037571,5.19861512622813,4.60577750916919,-0.7247619830375,30.2637758671595,-75.4331028102837,-33.5651704604146,2451.8549170425,18.706752355,3.111655094335,-7.99593795
47,6.54665325421023,5.20273500775,4.655706627067,-0.718086147700001,30.2740906937111,-75.2676242651621,-30.973621640336,2462.64873078,18.71280022,3.20442019852,-8.0338461
